#      BLOCK:      ACTUAL_PE:           PE_AVE:             ERROR:
         1       -0.3845967097       -0.3845967097                   0
         2        -0.336875899       -0.3607363043       0.01687185442
         3       -0.3293816349       -0.3502847479       0.01411873492
         4       -0.3627624455       -0.3534041723       0.01092822546
         5       -0.4370083917       -0.3701250161       0.01732345253
         6       -0.3885490163       -0.3731956828       0.01470583785
         7       -0.4160199751       -0.3793134389       0.01381905771
         8       -0.4154922878        -0.383835795       0.01281030281
         9       -0.4073546336       -0.3864489993       0.01165042422
        10       -0.3774744236       -0.3855515417       0.01051989157
        11       -0.3869019162        -0.385674303       0.00956425404
        12        -0.433629974       -0.3896706089      0.009565770299
        13       -0.4484170321       -0.3941895646      0.009839613273
        14       -0.4189073545        -0.395955121      0.009293834002
        15       -0.3997755779       -0.3962098181      0.008677734348
        16       -0.4248225426       -0.3979981134      0.008317599826
        17       -0.4024617321       -0.3982606792      0.007832472425
        18       -0.4263603312        -0.399821771      0.007551303486
        19       -0.4172182174       -0.4007373734      0.007209161577
        20       -0.4185925718       -0.4016301334      0.006903760488
        21       -0.4336564554       -0.4031551963      0.006741351509
        22       -0.4287432122       -0.4043182879      0.006534490824
        23       -0.4349733044       -0.4056511147      0.006384862807
        24       -0.4353047214       -0.4068866817      0.006237231628
        25       -0.4040824926       -0.4067745141      0.005988750863
        26       -0.4142458362       -0.4070618727      0.005765304339
        27       -0.4102101727       -0.4071784764      0.005552953583
        28       -0.4159777681       -0.4074927368       0.00536351897
        29       -0.4727470484       -0.4097428855      0.005630822736
        30       -0.4922169569       -0.4124920212      0.006077291479
        31        -0.438905934       -0.4133440829      0.005940680846
        32       -0.4345090964       -0.4140054896      0.005791736449
        33       -0.4213806912       -0.4142289805      0.005620539654
        34       -0.4287167243       -0.4146550906       0.00547135817
        35       -0.4265530049        -0.414995031      0.005325583582
        36       -0.4857765133       -0.4169611833      0.005528692391
        37       -0.4524917103       -0.4179214678      0.005462028068
        38       -0.4466915704       -0.4186785758      0.005370506646
        39       -0.4090831749       -0.4184325399      0.005238434067
        40       -0.3883686736       -0.4176809432      0.005161110127
        41       -0.3817255741        -0.416803983      0.005109191396
        42       -0.3981298886       -0.4163593617      0.005006852924
        43       -0.4082891498       -0.4161716824      0.004893930753
        44       -0.4532272323       -0.4170138539      0.004854626786
        45        -0.381428559       -0.4162230696      0.004810721652
        46       -0.3557169978       -0.4149077202      0.004882652242
        47       -0.3497532963       -0.4135214559      0.004971664277
        48        -0.380922191       -0.4128423045      0.004914256549
        49       -0.4060454779       -0.4127035938      0.004815922839
        50       -0.4233397631       -0.4129163172      0.004724300132
