#      BLOCK:      ACTUAL_T:            T_AVE:             ERROR:
         1         1.187285665         1.187285665                   0
         2         1.155471386         1.171378525        0.0112480463
         3         1.150426164         1.164394405      0.009420673517
         4         1.172660066          1.16646082      0.007288615589
         5          1.22211277          1.17759121       0.01153723408
         6         1.189834027          1.17963168      0.009793137796
         7         1.208156075         1.183706593      0.009202934782
         8          1.20779674         1.186717862      0.008531009349
         9         1.202367047          1.18845666       0.00775829778
        10         1.182437735         1.187854768      0.007005776654
        11         1.188748516         1.187936017         0.006369359
        12         1.219955124         1.190604276      0.006373014242
        13         1.229801706         1.193619463      0.006557373405
        14         1.210094541         1.194796254      0.006193683472
        15         1.197371561         1.194967942      0.005783150309
        16         1.214049693         1.196160551      0.005543310416
        17          1.19907554         1.196332021      0.005219884679
        18         1.215072503         1.197373159      0.005032650772
        19          1.20902602         1.197986467      0.004804999787
        20         1.209946347         1.198584461      0.004601810262
        21         1.220073364         1.199607742      0.004495007773
        22         1.216699413         1.200384637      0.004357309249
        23         1.220811391         1.201272756      0.004257408652
        24         1.220998849         1.202094677      0.004158598435
        25          1.20017842         1.202018027      0.003992960834
        26         1.206985232         1.202209073      0.003843953082
        27         1.204422778         1.202291062      0.003702458734
        28         1.208195482         1.202501934      0.003576228095
        29         1.246017931         1.204002486      0.003754543724
        30         1.259001315          1.20583578       0.00405233562
        31         1.223392989         1.206402142       0.00396099524
        32         1.220419827         1.206840194      0.003861360632
        33         1.211684914         1.206987004       0.00374713953
        34         1.216653379         1.207271309      0.003647699083
        35          1.21526747         1.207499771      0.003550626379
        36         1.254791874          1.20881344      0.003687015055
        37         1.232451905         1.209452318      0.003642297037
        38         1.228584458         1.209955795      0.003581076072
        39         1.203529127         1.209791009      0.003493042946
        40         1.189712513         1.209289047      0.003441594763
        41         1.185334293         1.208704784      0.003406886122
        42         1.196320709         1.208409925      0.003338505116
        43         1.203047015         1.208285206      0.003263194235
        44         1.233052747         1.208848105      0.003237216494
        45         1.185128068         1.208320993      0.003207905805
        46         1.168072919         1.207446035      0.003255305243
        47         1.164093116         1.206523632      0.003314150941
        48         1.184837285         1.206071834      0.003275756935
        49         1.201536273         1.205979271      0.003210212246
        50         1.212992478         1.206119535      0.003149070798
