#      BLOCK:      ACTUAL_TE:           TE_AVE:             ERROR:
         1         1.396331788         1.396331788                   0
         2         1.396331179         1.396331484     2.146491452e-07
         3         1.396257611         1.396306859     2.010597212e-05
         4         1.396227654         1.396287058     2.283552147e-05
         5         1.396160763         1.396261799     2.905427554e-05
         6         1.396202024         1.396251837     2.586359067e-05
         7         1.396214138         1.396246451     2.272258801e-05
         8         1.396202823         1.396240998     2.052626977e-05
         9         1.396195937         1.396235991     1.884629529e-05
        10         1.396182179          1.39623061     1.771325921e-05
        11         1.396220858         1.396229723      1.61251327e-05
        12         1.396302711         1.396235805     1.588713572e-05
        13         1.396285528          1.39623963     1.511844075e-05
        14         1.396234457         1.396239261     1.404306741e-05
        15         1.396281763         1.396242094     1.338967247e-05
        16         1.396251996         1.396242713     1.256711153e-05
        17         1.396151578         1.396237352     1.292080851e-05
        18         1.396248424         1.396237967     1.221761797e-05
        19         1.396320813         1.396242328     1.232811577e-05
        20         1.396326949         1.396246559       1.2416561e-05
        21         1.396453591         1.396256417      1.52447778e-05
        22         1.396305908         1.396258667     1.471687588e-05
        23         1.396243782          1.39625802       1.4091233e-05
        24         1.396193552         1.396255334     1.375774438e-05
        25         1.396185138         1.396252526     1.349091983e-05
        26         1.396232012         1.396251737     1.299508953e-05
        27         1.396423995         1.396258117     1.399252596e-05
        28         1.396315455         1.396260164     1.364181804e-05
        29         1.396279849         1.396260843      1.31882859e-05
        30         1.396285016         1.396261649     1.277326605e-05
        31          1.39618355          1.39625913     1.260722553e-05
        32         1.396120645         1.396254802       1.2934713e-05
        33          1.39614668         1.396251526     1.295107569e-05
        34         1.396263345         1.396251873     1.257482633e-05
        35         1.396348201         1.396254625     1.251310557e-05
        36         1.396411297         1.396258977     1.290013973e-05
        37         1.396186147         1.396257009      1.27007729e-05
        38         1.396185117         1.396255117     1.250665471e-05
        39         1.396210516         1.396253973     1.223814623e-05
        40         1.396200095         1.396252627     1.200608806e-05
        41         1.396275865         1.396253193     1.172662758e-05
        42         1.396351175         1.396255526     1.167717215e-05
        43         1.396281373         1.396256127     1.142106985e-05
        44         1.396351888         1.396258304     1.136697115e-05
        45         1.396263542          1.39625842     1.111496826e-05
        46         1.396392381         1.396261332     1.124837797e-05
        47         1.396386378         1.396263993     1.131932533e-05
        48         1.396333737         1.396265446     1.117637401e-05
        49         1.396258932         1.396265313     1.094907548e-05
        50         1.396148954         1.396262986     1.097462196e-05
