#      BLOCK:      ACTUAL_KE:           KE_AVE:             ERROR:
         1         1.650757871         1.650757871                   0
         2         1.607798619         1.629278245       0.01518838922
         3         1.616536392         1.625030961       0.01070298618
         4         1.629655995          1.62618722      0.008089454655
         5         1.667053596         1.634360495      0.009763353946
         6         1.658881451         1.638447321      0.008950700508
         7         1.605745397         1.633775618      0.008807213585
         8          1.63003866         1.633308498      0.007718689568
         9          1.65684204         1.635923336      0.007290526562
        10          1.61113923         1.633444925      0.006970022031
        11         1.623890712          1.63257636      0.006390272337
        12         1.643162291         1.633458521      0.005918326452
        13         1.618302102         1.632292643      0.005576724232
        14         1.613492356         1.630949765       0.00533762133
        15         1.631253311         1.630970001      0.004981818268
        16         1.631010718         1.630972546      0.004670455277
        17         1.611420689         1.629822437      0.004535120693
        18         1.598320607         1.628072335      0.004608496335
        19         1.592885135         1.626220377      0.004723420504
        20         1.642677198         1.627043218      0.004558357363
        21         1.618409879         1.626632107      0.004359792073
        22         1.592678671         1.625088769      0.004426364527
        23         1.662028561         1.626694847      0.004515900966
        24         1.631679451         1.626902539      0.004332511794
        25          1.65094604         1.627864279      0.004264620142
        26         1.643716142         1.628473966      0.004143948767
        27         1.630537196         1.628550382       0.00399117369
        28         1.612398238          1.62797352      0.003890096654
        29         1.630215935         1.628050844      0.003756723815
        30         1.658515076         1.629066319      0.003766245513
        31         1.590099661          1.62780933      0.003848802737
        32          1.64475558           1.6283389      0.003764784094
        33         1.675474844         1.629767262      0.003912288536
        34         1.604690654         1.629029715      0.003866117658
        35         1.646501579         1.629528911      0.003787748344
        36         1.634955264         1.629679643      0.003685531054
        37         1.606764986         1.629060328      0.003637584669
        38         1.628609094         1.629048453      0.003541878138
        39         1.618428614          1.62877615      0.003461512424
        40         1.590626434         1.627822407      0.003503903324
        41          1.59433434         1.627005625      0.003512350928
        42          1.62174301         1.626880324      0.003430957792
        43           1.6320668          1.62700094      0.003353287536
        44         1.570369724         1.625713867      0.003515414376
        45         1.630271766         1.625815153      0.003438752889
        46         1.648978289           1.6263187      0.003400665419
        47         1.606202968         1.625890706      0.003355135573
        48         1.616855654         1.625702475      0.003290512737
        49         1.602373507         1.625226374      0.003257620679
        50         1.638731591         1.625496478      0.003203646493
