#      BLOCK:      ACTUAL_PE:           PE_AVE:             ERROR:
         1        -5.487599958        -5.487599958                   0
         2        -5.447245428        -5.467422693        0.0142674811
         3        -5.451679307        -5.462174898       0.01043221613
         4        -5.467911456        -5.463609037      0.007922125963
         5         -5.50418879        -5.471724988      0.009636460693
         6        -5.496309252        -5.475822365      0.008858751771
         7        -5.443074277        -5.471144067      0.008741668136
         8        -5.466011461        -5.470502491      0.007672467028
         9        -5.493816557        -5.473092943      0.007244089746
        10        -5.446480131        -5.470431662      0.006991452877
        11        -5.460252869        -5.469506317      0.006416810477
        12        -5.481503919        -5.470506117      0.005959456489
        13        -5.455864883        -5.469379868      0.005606448947
        14        -5.450438716        -5.468026929      0.005366750732
        15        -5.468837879        -5.468080992      0.005009239653
        16        -5.468798149        -5.468125815      0.004696362704
        17         -5.44838917        -5.466964835      0.004561351062
        18        -5.435152349        -5.465197475      0.004637715103
        19         -5.42825821        -5.463253303      0.004783806681
        20        -5.480241979        -5.464102737      0.004619415402
        21        -5.454736823        -5.463656741      0.004420920847
        22        -5.430868088        -5.462166348      0.004464129398
        23        -5.501553551        -5.463878835      0.004586755009
        24        -5.469389722        -5.464108455      0.004401384044
        25        -5.488722221        -5.465093006      0.004334047622
        26        -5.481911878        -5.465739886      0.004215352185
        27         -5.46413555        -5.465680466      0.004059646801
        28        -5.448260731        -5.465058332      0.003962043041
        29        -5.468529832        -5.465178039      0.003827228817
        30         -5.49584374        -5.466200229      0.003833730166
        31        -5.427304088        -5.464945515      0.003909997394
        32        -5.480740534        -5.465439109       0.00381883833
        33        -5.512369228        -5.466861234      0.003959068164
        34        -5.440121606        -5.466074775      0.003919960948
        35        -5.483176433        -5.466563393      0.003838294157
        36        -5.470491182        -5.466672499      0.003733225235
        37        -5.444033078        -5.466060622      0.003682129152
        38        -5.467330305        -5.466094035      0.003585382611
        39         -5.45568428        -5.465827118      0.003503371056
        40        -5.427131998         -5.46485974       0.00354683296
        41        -5.434160656        -5.464110982      0.003538476032
        42        -5.457765894        -5.463959909      0.003457450104
        43        -5.469706562        -5.464093552      0.003379626199
        44          -5.4071669        -5.462799764      0.003541813126
        45        -5.467313553        -5.462900071      0.003464526248
        46        -5.486170607        -5.463405952       0.00342594512
        47        -5.441652394         -5.46294311      0.003384172969
        48        -5.452755815        -5.462730875      0.003320317768
        49        -5.439725006        -5.462261367      0.003285583708
        50        -5.474867695        -5.462513494      0.003229531291
