#      BLOCK:      ACTUAL_P:            P_AVE:             ERROR:
         1         1.059800333         1.059800333                   0
         2         1.131016806         1.095408569       0.02517882563
         3         1.404655916         1.198491018       0.08582400632
         4         1.158853689         1.188581686       0.06493755605
         5         1.020275405          1.15492043       0.06004391132
         6         1.037217904         1.135303342       0.05314463649
         7         1.335534328         1.163907769       0.05269117593
         8         1.264549319         1.176487962       0.04758286726
         9         1.163292565         1.175021807       0.04231846406
        10         1.361197427         1.193639369       0.04198264756
        11         1.316533184         1.204811534       0.03962470319
        12         1.096236027         1.195763575       0.03734137037
        13         1.274051587          1.20178573       0.03495118945
        14         1.308071621         1.209377579       0.03326898399
        15         1.242726211         1.211600821       0.03112524857
        16         1.205147373         1.211197481       0.02918253378
        17         1.228651422         1.212224183       0.02748396898
        18         1.323637449         1.218413809       0.02664494605
        19         1.421263126         1.229090089       0.02729783355
        20         1.114976169         1.223384393       0.02652253179
        21         1.260303648         1.225142453       0.02531775399
        22         1.330443124         1.229928847       0.02461523008
        23        0.9697804724         1.218618048       0.02601420703
        24         1.216832009          1.21854363       0.02493038818
        25        0.9868935128         1.209277625       0.02559728975
        26         1.089347666         1.204664934       0.02502493643
        27          1.21015472          1.20486826       0.02409891292
        28         1.235286986         1.205954643       0.02326271174
        29          1.10812437         1.202581185       0.02270383379
        30         1.158482401         1.201111226       0.02199457411
        31         1.316931565         1.204847366       0.02160006338
        32         1.231573435         1.205682555       0.02094120193
        33         1.104138733          1.20260547       0.02053144784
        34         1.240601608         1.203723003       0.01995797241
        35         1.115589884         1.201204914       0.01954595226
        36         1.160395212         1.200071311       0.01903585343
        37         1.298622849         1.202734866       0.01870678919
        38         1.098541242         1.199992929       0.01841435786
        39         1.149724079         1.198703984       0.01798724923
        40         1.430384048         1.204495986       0.01844654146
        41          1.26342361         1.205933245       0.01805253088
        42          1.27023997         1.207464357       0.01768751965
        43         1.146319285         1.206042379       0.01733324732
        44         1.415388759         1.210800251       0.01758019006
        45            1.230173         1.211230757        0.0171947895
        46          1.04223265         1.207556885       0.01720899793
        47          1.27686145          1.20903145       0.01690590558
        48         1.245456963         1.209790315       0.01657072226
        49         1.234023957         1.210284879       0.01623992287
        50         1.150669236         1.209092566       0.01595883338
