#      BLOCK:      ACTUAL_T:            T_AVE:             ERROR:
         1         1.100505248         1.100505248                   0
         2         1.071865746         1.086185497       0.01012559281
         3         1.077690928         1.083353974      0.007135324122
         4          1.08643733         1.084124813       0.00539296977
         5         1.111369064         1.089573663       0.00650890263
         6         1.105920968         1.092298214      0.005967133672
         7         1.070496932         1.089183745      0.005871475723
         8          1.08669244         1.088872332      0.005145793045
         9          1.10456136         1.090615557      0.004860351041
        10          1.07409282         1.088963283      0.004646681354
        11         1.082593808          1.08838424      0.004260181558
        12         1.095441527         1.088972347      0.003945550968
        13         1.078868068         1.088195095      0.003717816154
        14         1.075661571         1.087299843       0.00355841422
        15         1.087502207         1.087313334      0.003321212179
        16         1.087340479         1.087315031      0.003113636851
        17         1.074280459         1.086548291      0.003023413795
        18         1.065547072         1.085381557       0.00307233089
        19         1.061923423         1.084146918      0.003148947003
        20         1.095118132         1.084695479      0.003038904909
        21         1.078939919         1.084421405      0.002906528048
        22         1.061785781         1.083392513      0.002950909685
        23         1.108019041         1.084463231      0.003010600644
        24         1.087786301         1.084601693      0.002888341196
        25         1.100630693         1.085242853      0.002843080095
        26         1.095810761         1.085649311      0.002762632511
        27         1.087024798         1.085700255       0.00266078246
        28         1.074932158          1.08531568      0.002593397769
        29         1.086810623         1.085367229      0.002504482543
        30         1.105676717         1.086044212      0.002510830342
        31         1.060066441          1.08520622      0.002565868492
        32          1.09650372         1.085559267      0.002509856063
        33          1.11698323         1.086511508      0.002608192357
        34         1.069793769          1.08601981      0.002577411772
        35         1.097667719         1.086352607      0.002525165563
        36         1.089970176         1.086453095      0.002457020703
        37         1.071176658         1.086040218      0.002425056446
        38         1.085739396         1.086032302      0.002361252092
        39          1.07895241         1.085850766       0.00230767495
        40         1.060417623         1.085214938      0.002335935549
        41          1.06288956         1.084670416      0.002341567285
        42         1.081162007         1.084586883      0.002287305195
        43         1.088044533         1.084667293      0.002235525024
        44         1.046913149         1.083809245      0.002343609584
        45         1.086847844         1.083876769      0.002292501926
        46         1.099318859         1.084212467       0.00226711028
        47         1.070801979         1.083927137      0.002236757049
        48         1.077903769          1.08380165      0.002193675158
        49         1.068249005         1.083484249      0.002171747119
        50         1.092487727         1.083664319      0.002135764329
