#      BLOCK:      ACTUAL_TE:           TE_AVE:             ERROR:
         1        -3.836842087        -3.836842087                   0
         2        -3.839446808        -3.838144448     0.0009209081167
         3        -3.835142915        -3.837143937      0.001021894678
         4        -3.838255461        -3.837421818     0.0008033147348
         5        -3.837135194        -3.837364493     0.0006446938925
         6          -3.8374278        -3.837375044     0.0005373312453
         7         -3.83732888        -3.837368449     0.0004606101077
         8        -3.835972801        -3.837193993     0.0004348181507
         9        -3.836974518        -3.837169607     0.0003871882518
        10        -3.835340901        -3.836986737     0.0003892665312
        11        -3.836362157        -3.836929957     0.0003579957907
        12        -3.838341629        -3.837047596        0.0003469533
        13        -3.837562781        -3.837087226     0.0003225199254
        14         -3.83694636        -3.837077164     0.0002996396993
        15        -3.837584569        -3.837110991     0.0002815666499
        16        -3.837787431        -3.837153268     0.0002671238807
        17        -3.836968481        -3.837142398     0.0002516317719
        18        -3.836831742         -3.83712514     0.0002382433557
        19        -3.835373075        -3.837032926     0.0002428955747
        20        -3.837564782        -3.837059519     0.0002322019545
        21        -3.836326945        -3.837024634     0.0002237497808
        22        -3.838189417        -3.837077579     0.0002197540817
        23         -3.83952499        -3.837183988     0.0002345516237
        24        -3.837710271        -3.837205916     0.0002258013692
        25        -3.837776181        -3.837228727      0.000217918438
        26        -3.838195736         -3.83726592     0.0002126871577
        27        -3.833598354        -3.837130084     0.0002443666306
        28        -3.835862494        -3.837084813     0.0002397960213
        29        -3.838313897        -3.837127195     0.0002352427534
        30        -3.837328665        -3.837133911     0.0002274971664
        31        -3.837204428        -3.837136185     0.0002201699205
        32        -3.835984954        -3.837100209     0.0002162088854
        33        -3.836894384        -3.837093972     0.0002097470456
        34        -3.835430951         -3.83704506     0.0002092034024
        35        -3.836674854        -3.837034483     0.0002034933809
        36        -3.835535918        -3.836992856     0.0002020535422
        37        -3.837268092        -3.837000295      0.000196729522
        38        -3.838721211        -3.837045582     0.0001966959516
        39        -3.837255666        -3.837050969     0.0001917262133
        40        -3.836505564        -3.837037334     0.0001874172801
        41        -3.839826317        -3.837105358     0.0001948001761
        42        -3.836022884        -3.837079584     0.0001918594722
        43        -3.837639762        -3.837092612     0.0001878393873
        44        -3.836797177        -3.837085897     0.0001836902768
        45        -3.837041788        -3.837084917     0.0001796108859
        46        -3.837192318        -3.837087252     0.0001757214758
        47        -3.835449426        -3.837052405     0.0001754039839
        48        -3.835900161        -3.837028399     0.0001733845706
        49        -3.837351499        -3.837034993     0.0001699714471
        50        -3.836136104        -3.837017016       0.00016752007
