#      BLOCK:      ACTUAL_KE:           KE_AVE:             ERROR:
         1          1.20064077          1.20064077                   0
         2         1.203258089         1.201949429     0.0009253619829
         3         1.206267802         1.203388887      0.001327378675
         4         1.197432386         1.201899762      0.001629174046
         5         1.203566303          1.20223307      0.001336999868
         6         1.200045602         1.201868492       0.00116281182
         7         1.208321696         1.202790378      0.001312199051
         8         1.203229968         1.202845327       0.00114932409
         9          1.19769513         1.202273083      0.001155330596
        10         1.206396622         1.202685437       0.00111095053
        11         1.204715623         1.202869999      0.001025171095
        12         1.205395583         1.203080464     0.0009611014101
        13         1.202396358         1.203027841     0.0008886100233
        14          1.20141041          1.20291231     0.0008326142531
        15         1.214188159         1.203664033      0.001063630619
        16         1.199249181         1.203388105      0.001032324265
        17         1.208498576         1.203688721      0.001014425598
        18         1.196431594         1.203285547      0.001035091322
        19         1.203893176         1.203317528      0.000981106745
        20         1.206473435         1.203475323     0.0009446556189
        21         1.207082737         1.203647105     0.0009151576232
        22         1.198591902         1.203417323     0.0009019456918
        23         1.205344822         1.203501127     0.0008666152554
        24         1.206782443         1.203637849     0.0008412220842
        25         1.207098026         1.203776256      0.000818880175
        26         1.200215097         1.203639288     0.0007987574003
        27         1.206639129         1.203750393     0.0007768625985
        28         1.209918617         1.203970687     0.0007797263368
        29         1.197515241         1.203748085     0.0007839704641
        30         1.209316514           1.2039337     0.0007795016687
        31         1.199316695         1.203784764     0.0007684529531
        32         1.206158044         1.203858929     0.0007480091469
        33         1.204497086         1.203878267     0.0007255921315
        34         1.198347831         1.203715607      0.000722253273
        35         1.202214785         1.203672727     0.0007028892387
        36         1.201920869         1.203624064     0.0006850469849
        37         1.205003546         1.203661347     0.0006675459919
        38         1.204564824         1.203685123     0.0006504022591
        39         1.210581265         1.203861947     0.0006573224442
        40         1.197458449          1.20370186      0.000660095822
        41         1.195489603         1.203501561     0.0006737001503
        42         1.208675375         1.203624747     0.0006688271404
        43         1.209681183         1.203765594     0.0006679388205
        44          1.19383256         1.203539843     0.0006898540977
        45         1.201131685         1.203486329     0.0006765964901
        46         1.202243223         1.203459305     0.0006624273361
        47         1.207890786         1.203553592     0.0006550089422
        48         1.196015659         1.203396551      0.000659919888
        49         1.206532304         1.203460546     0.0006495476414
        50         1.200388403         1.203399103     0.0006394561275
