#      BLOCK:      ACTUAL_PE:           PE_AVE:             ERROR:
         1         -7.51867721         -7.51867721                   0
         2        -7.520655663        -7.519666437     0.0006994886244
         3        -7.524801545        -7.521378139       0.00147334434
         4        -7.515102854        -7.519809318      0.001751269089
         5        -7.522257288        -7.520298912      0.001467857504
         6        -7.519053707        -7.520091378      0.001237798825
         7         -7.52659821        -7.521020925      0.001366118451
         8        -7.520401816        -7.520943537       0.00119754362
         9        -7.516395711        -7.520438223      0.001166231249
        10        -7.525676173        -7.520962018       0.00116129337
        11        -7.522790613        -7.521128254      0.001067553057
        12        -7.524105551        -7.521376362      0.001007008845
        13        -7.520617159        -7.521317962     0.0009312385115
        14        -7.518764522        -7.521135573     0.0008824016663
        15        -7.532504896        -7.521893528      0.001102030632
        16        -7.517813363        -7.521638518      0.001062248783
        17        -7.525932267        -7.521891091      0.001029353198
        18        -7.514843761        -7.521499573      0.001043972784
        19        -7.522268094        -7.521540021     0.0009898101208
        20        -7.524380856        -7.521682063     0.0009504567546
        21        -7.525204761        -7.521849811     0.0009198808147
        22        -7.516942378        -7.521626745     0.0009047097944
        23        -7.523834692        -7.521722743     0.0008704527868
        24        -7.525446032         -7.52187788     0.0008478959268
        25        -7.526240543        -7.522052387     0.0008317439527
        26        -7.518178386        -7.521903387     0.0008129903209
        27        -7.524836852        -7.522012034     0.0007901059237
        28        -7.528439602         -7.52224159     0.0007945357616
        29        -7.516153883        -7.522031669     0.0007943852453
        30        -7.527859865        -7.522225942     0.0007913047622
        31        -7.517187808        -7.522063421     0.0007822902529
        32        -7.524855111        -7.522150662     0.0007626926501
        33        -7.523968172        -7.522205738       0.00074156668
        34        -7.517364284        -7.522063342     0.0007332998785
        35         -7.52065056        -7.522022977     0.0007134585597
        36        -7.519874556        -7.521963299     0.0006961317357
        37        -7.523660018        -7.522009156     0.0006788260953
        38        -7.522503443        -7.522022163     0.0006610868634
        39        -7.529354776        -7.522210179     0.0006703391535
        40         -7.51513941         -7.52203341     0.0006764864162
        41        -7.513065453        -7.521814679     0.0006944484874
        42        -7.526249006        -7.521920258     0.0006858928174
        43        -7.526832034        -7.522034486     0.0006793868483
        44        -7.511449828        -7.521793925     0.0007052508124
        45        -7.519927537         -7.52175245     0.0006907970617
        46        -7.520109601        -7.521716736     0.0006767023115
        47        -7.526173489         -7.52181156     0.0006689151542
        48         -7.51492111        -7.521668009     0.0006702056659
        49        -7.524791468        -7.521731753     0.0006595524198
        50        -7.518186843        -7.521660855     0.0006501607865
