#      BLOCK:      ACTUAL_P:            P_AVE:             ERROR:
         1          7.91712811          7.91712811                   0
         2         7.891168633         7.904148371       0.00917806123
         3         7.875769431         7.894688725      0.009853689194
         4         7.930085587          7.90353794       0.01064647866
         5         7.885869413         7.900004235       0.00908471601
         6         7.930864968          7.90514769      0.008908416208
         7         7.880044761         7.901561558      0.008326366118
         8         7.901000453          7.90149142      0.007285865755
         9         7.920805388         7.903637416      0.006785011993
        10         7.895945388         7.902868213      0.006149957701
        11         7.906769185         7.903222847      0.005601086181
        12         7.899191068         7.902886865      0.005144396071
        13         7.920083677         7.904209697      0.004915808707
        14         7.929257007         7.905998791      0.004879397741
        15         7.844129371         7.901874163      0.006051301836
        16         7.909738189         7.902365664      0.005693020967
        17         7.877587033         7.900908098      0.005541585135
        18         7.935910046          7.90285265       0.00556444349
        19         7.911119755         7.903287761      0.005288562389
        20         7.884322302         7.902339488      0.005108442587
        21         7.864717909         7.900547984      0.005169783637
        22          7.93007418         7.901890084      0.005106030187
        23         7.901675591         7.901880758      0.004884037391
        24         7.883413921         7.901111307      0.004740759688
        25         7.873531472         7.900008113      0.004677727238
        26         7.925359978         7.900983185      0.004598318563
        27         7.892957622         7.900685942      0.004437607216
        28         7.874556705         7.899752755      0.004376141599
        29         7.916765608         7.900339405      0.004264380995
        30         7.869173179         7.899300531      0.004246893616
        31         7.919504381         7.899952268      0.004159604911
        32         7.884834654         7.899479843      0.004056356307
        33         7.920515416         7.900117284      0.003983207351
        34         7.944573508          7.90142482      0.004075014307
        35          7.90944404         7.901653941      0.003965021328
        36         7.909861654         7.901881933      0.003861431149
        37          7.89310399         7.901644691      0.003764349013
        38         7.899728914         7.901594276      0.003665624782
        39         7.878973279          7.90101425      0.003617233136
        40         7.939721447          7.90198193      0.003653947018
        41         7.943815476         7.903002261      0.003704547072
        42         7.857949134         7.901929567      0.003768449974
        43         7.866464381         7.901104795      0.003769987109
        44         7.955312995           7.9023368      0.003880392578
        45         7.923592593         7.902809151      0.003822802609
        46         7.919726026         7.903176909      0.003757345951
        47         7.877074735         7.902621544      0.003718219592
        48         7.939424173         7.903388265       0.00371896812
        49         7.883296363         7.902978226       0.00366560575
        50         7.902439424          7.90296745      0.003592309475
