#      BLOCK:      ACTUAL_T:            T_AVE:             ERROR:
         1        0.8004271798        0.8004271798                   0
         2        0.8021720591        0.8012996194     0.0006169079887
         3        0.8041785345        0.8022592578     0.0008849191167
         4        0.7982882576        0.8012665077      0.001086116031
         5         0.802377535        0.8014887132     0.0008913332457
         6        0.8000304015        0.8012456612     0.0007752078797
         7        0.8055477974        0.8018602521     0.0008747993676
         8        0.8021533118        0.8018968846     0.0007662160601
         9        0.7984634201        0.8015153885     0.0007702203972
        10        0.8042644145        0.8017902911      0.000740633687
        11        0.8031437487        0.8019133327     0.0006834473964
        12         0.803597055        0.8020536429     0.0006407342734
        13        0.8015975721        0.8020185605     0.0005924066822
        14        0.8009402734          0.80194154     0.0005550761687
        15        0.8094587729        0.8024426889     0.0007090870795
        16        0.7994994542        0.8022587367     0.0006882161768
        17        0.8056657176        0.8024591474     0.0006762837317
        18        0.7976210624        0.8021903649     0.0006900608812
        19        0.8025954506        0.8022116852     0.0006540711634
        20        0.8043156235        0.8023168821     0.0006297704126
        21        0.8047218247        0.8024314032     0.0006101050821
        22        0.7990612683        0.8022782152     0.0006012971278
        23        0.8035632145        0.8023340848     0.0005777435036
        24        0.8045216287        0.8024252324     0.0005608147228
        25        0.8047320175        0.8025175038     0.0005459201167
        26        0.8001433983        0.8024261921     0.0005325049335
        27        0.8044260862        0.8025002622      0.000517908399
        28        0.8066124112        0.8026471247     0.0005198175578
        29         0.798343494        0.8024987236     0.0005226469761
        30        0.8062110094        0.8026224665     0.0005196677791
        31        0.7995444633        0.8025231761     0.0005123019687
        32        0.8041053629        0.8025726194     0.0004986727646
        33        0.8029980576        0.8025855115     0.0004837280877
        34        0.7988985539        0.8024770715      0.000481502182
        35         0.801476523        0.8024484844     0.0004685928258
        36        0.8012805793        0.8024160426     0.0004566979899
        37        0.8033356973        0.8024408982     0.0004450306613
        38        0.8030432162        0.8024567486     0.0004336015061
        39        0.8070541765        0.8025746314     0.0004382149628
        40        0.7983056327        0.8024679064     0.0004400638813
        41        0.7969930683        0.8023343738     0.0004491334335
        42        0.8057835836        0.8024164978     0.0004458847603
        43        0.8064541219        0.8025103961      0.000445292547
        44        0.7958883731        0.8023598956     0.0004599027318
        45        0.8007544568        0.8023242191     0.0004510643267
        46        0.8014954822        0.8023062031     0.0004416182241
        47        0.8052605238         0.802369061     0.0004366726282
        48        0.7973437726        0.8022643675      0.000439946592
        49        0.8043548693        0.8023070308     0.0004330317609
        50        0.8002589353        0.8022660689      0.000426304085
