#      BLOCK:      ACTUAL_TE:           TE_AVE:             ERROR:
         1        -6.318036441        -6.318036441                   0
         2        -6.317397575        -6.317717008     0.0002258733644
         3        -6.318533743        -6.317989253      0.000268489456
         4        -6.317670468        -6.317909557     0.0002128669091
         5        -6.318690986        -6.318065842     0.0002203181764
         6        -6.319008105        -6.318222886     0.0002329392579
         7        -6.318276513        -6.318230547      0.000199788162
         8        -6.317171848         -6.31809821     0.0002142059787
         9        -6.318700581         -6.31816514     0.0002005893601
        10        -6.319279551        -6.318276581     0.0002092090801
        11         -6.31807499        -6.318258255     0.0001909910691
        12        -6.318709969        -6.318295897     0.0001787462106
        13          -6.3182208        -6.318290121     0.0001650898193
        14        -6.317354112        -6.318223263     0.0001662854847
        15        -6.318316737        -6.318229495     0.0001553165096
        16        -6.318564181        -6.318250413      0.000147011088
        17        -6.317433691         -6.31820237     0.0001460025076
        18        -6.318412168        -6.318214025      0.000138355701
        19        -6.318374918        -6.318222494      0.000131332708
        20        -6.317907421         -6.31820674     0.0001257073616
        21        -6.318122024        -6.318202706     0.0001197860085
        22        -6.318350476        -6.318209423     0.0001145293524
        23        -6.318489871        -6.318221616     0.0001101969908
        24        -6.318663589        -6.318240032     0.0001071331535
        25        -6.319142516        -6.318276131     0.0001087598948
        26        -6.317963289        -6.318264099     0.0001052403048
        27        -6.318197723         -6.31826164     0.0001013712242
        28        -6.318520986        -6.318270903     9.817306338e-05
        29        -6.318638642        -6.318283583     9.560323617e-05
        30         -6.31854335        -6.318292242     9.280775981e-05
        31        -6.317871113        -6.318278657     9.080276192e-05
        32        -6.318697067        -6.318291733      8.89015915e-05
        33        -6.319471086        -6.318327471     9.311418083e-05
        34        -6.319016454        -6.318347735     9.255428966e-05
        35        -6.318435775         -6.31835025     8.994405619e-05
        36        -6.317953687        -6.318339235     8.811758047e-05
        37        -6.318656472        -6.318347809     8.615214736e-05
        38        -6.317938619         -6.31833704     8.455526049e-05
        39        -6.318773511        -6.318348232     8.312452405e-05
        40        -6.317680961         -6.31833155     8.270335625e-05
        41         -6.31757585        -6.318313118     8.271459602e-05
        42        -6.317573631        -6.318295512     8.259786841e-05
        43        -6.317150851        -6.318268892     8.485824546e-05
        44        -6.317617268        -6.318254082     8.421203626e-05
        45        -6.318795852        -6.318266121     8.319680666e-05
        46        -6.317866378        -6.318257431     8.184076907e-05
        47        -6.318282703        -6.318257969     8.010124261e-05
        48        -6.318905452        -6.318271458      7.95601636e-05
        49        -6.318259164        -6.318271207     7.793688165e-05
        50         -6.31779844        -6.318261752     7.694957147e-05
