#      BLOCK:      ACTUAL_T:            T_AVE:             ERROR:
         1         1.881664391         1.881664391                   0
         2         1.272019195         1.576841793        0.2155421262
         3         1.050746136         1.401476574        0.2028550092
         4         1.092753188         1.324295728        0.1661764856
         5         1.098450384         1.279126659        0.1389444328
         6         1.163804293         1.259906264        0.1171088752
         7         1.088139456         1.235368149        0.1029176999
         8         1.066349413         1.214240807       0.09219603867
         9         1.082944243           1.1996523       0.08309821482
        10         1.046080288         1.184295099       0.07619424548
        11         1.003464038         1.167855911       0.07101876491
        12         1.018263601         1.155389885       0.06618558183
        13         1.144760394         1.154572232       0.06109943364
        14         1.146533144         1.153998012       0.05673788662
        15         1.144384616         1.153357119       0.05295898038
        16         1.126235203         1.151661999       0.04967616554
        17         1.141169223         1.151044777       0.04675787246
        18         1.174341325         1.152339029       0.04417812163
        19         1.050290192         1.146968038       0.04217818506
        20         1.023575799         1.140798426       0.04051799316
        21         1.066896322         1.137279278       0.03874108943
        22         1.023128092         1.132090588       0.03732598066
        23         1.128392567         1.131929804       0.03570345823
        24         1.105933097         1.130846608       0.03423224157
        25         1.069891727         1.128408413       0.03294966786
        26         1.055528076         1.125605323       0.03180138148
        27           1.0381184         1.122365067       0.03078818556
        28         1.071536578         1.120549764       0.02974207543
        29         1.104917158         1.120010708       0.02872137122
        30         1.150881698         1.121039741       0.02778242022
        31         1.050994646         1.118780222       0.02697793898
        32         1.053125856         1.116728523       0.02621277915
        33         1.059475544         1.114993584        0.0254758028
        34         1.085910224         1.114138191       0.02474087094
        35         1.094857875         1.113587325       0.02404012077
        36          1.09145965         1.112972668        0.0233801961
        37         1.123213935         1.113249459       0.02274993727
        38         1.107152177         1.113089004       0.02215182054
        39         1.115697851         1.113155897       0.02158392615
        40         1.103997392         1.112926935       0.02104554238
        41         1.114837307         1.112973529       0.02053228805
        42          1.10313878         1.112739368       0.02004475924
        43         1.098285777         1.112403238       0.01958142013
        44         1.060071704         1.111213885        0.0191724738
        45          1.11282449         1.111249677       0.01874645223
        46         1.140702396         1.111889953       0.01834985158
        47         1.155448565         1.112816732       0.01798281796
        48         1.052569971         1.111561591        0.0176519239
        49         1.055959756          1.11042686       0.01732811455
        50         1.104415804         1.110306639       0.01698196929
        51         1.082890381         1.109769065       0.01665749593
        52         1.023326659         1.108106711       0.01641989822
        53         1.075346911         1.107488602       0.01612171865
        54         1.138045928         1.108054478       0.01583309639
        55         1.079007269         1.107526347       0.01555402763
        56         1.077689149          1.10699354       0.01528540013
        57         1.082540468         1.106564539        0.0150232542
        58         1.130976393         1.106985433       0.01477012732
        59         1.148734867          1.10769305       0.01453672681
        60         1.141151943         1.108250698        0.0143051401
        61         1.189425505         1.109581433        0.0141323898
        62         1.133621946         1.109969183       0.01390976636
        63         1.157989913         1.110731417       0.01370984513
        64          1.15688735         1.111452603       0.01351458397
        65         1.104721599         1.111349049       0.01330706403
        66         1.042950257         1.110312704       0.01314573485
        67         1.094690006          1.11007953       0.01295159767
        68         1.092437302         1.109820085       0.01276373131
        69         1.021022386         1.108533162       0.01264346126
        70         1.036648721         1.107506241       0.01250447485
        71         1.033140623         1.106458838       0.01237214414
        72         1.055466742         1.105750615       0.01222056256
        73         1.078318004         1.105374825       0.01205893407
        74          1.08081459          1.10504293       0.01190054196
        75         1.053710627           1.1043585       0.01176153328
        76         1.019045959         1.103235966       0.01166022112
        77          1.07209564         1.102831546       0.01151580093
        78         1.125151057         1.103117694       0.01137171704
        79          1.04944269         1.102438264       0.01124805004
        80         1.114454273         1.102588464       0.01110845221
        81         1.117016521         1.102766588       0.01097273884
        82         1.067734492         1.102339367       0.01084723863
        83         1.155886755         1.102984516       0.01073571728
        84         1.056615884         1.102432509       0.01062209316
        85          1.00354826         1.101269165       0.01056064062
        86         1.053567494         1.100714494       0.01045239865
        87          1.13363245         1.101092861       0.01033910215
        88         1.056719615          1.10058862       0.01023390097
        89         1.048378676         1.100001991       0.01013571276
        90         1.062574573         1.099586131       0.01003162131
        91         1.174488756         1.100409237      0.009955094818
        92          1.04807036         1.099840336      0.009863129274
        93         1.121538948         1.100073655      0.009759833375
        94         1.111061613         1.100190548      0.009656705348
        95         1.014067867         1.099283993      0.009597514358
        96         1.034879489         1.098613113      0.009520959131
        97         1.075836804         1.098378306      0.009425699895
        98         1.070126144         1.098090018      0.009333926913
        99         1.070759635         1.097813954      0.009243726426
       100         1.077276465         1.097608579      0.009153570362
