#      BLOCK:      ACTUAL_KE:           KE_AVE:             ERROR:
         1          1.77954989          1.77954989                   0
         2         1.789426158         1.784488024      0.003491788125
         3         1.798028763         1.789001604      0.004358959428
         4           1.8191188         1.796530903      0.007294213821
         5         1.799502044         1.797125131      0.005859525681
         6         1.774600551         1.793371034      0.005965522018
         7         1.783431595         1.791951115      0.005279586305
         8         1.776371753         1.790003694      0.004965827721
         9         1.784301051         1.789370067      0.004454310258
        10         1.750048373         1.785437898      0.005476027141
        11         1.789397063         1.785797822      0.004990020877
        12         1.771914649         1.784640891      0.004706391878
        13         1.805725496         1.786262784       0.00461537278
        14         1.815658253          1.78836246      0.004739302775
        15         1.792825252          1.78865998      0.004432678115
        16         1.798676108         1.789285988      0.004199607308
        17         1.814868908         1.790790865      0.004213580878
        18         1.772236813         1.789760085      0.004103638075
        19         1.780017109         1.789247296      0.003919565036
        20         1.778883176          1.78872909      0.003757686672
        21         1.835698088         1.790965709      0.004191860885
        22         1.891655524         1.795542519      0.006000468199
        23         1.865382262          1.79857903      0.006462373279
        24         1.880039939         1.801973234      0.007028170592
        25         1.848677901         1.803841421      0.006990930992
        26          1.88824691         1.807087786        0.0074377071
        27         1.851215493         1.808722145      0.007339607043
        28         1.909239448         1.812312049      0.007906822471
        29         1.846130731          1.81347821      0.007719691838
        30         1.762759218         1.811787577      0.007645254301
        31         1.738904905         1.809436523      0.007751704515
        32         1.734408236         1.807091889      0.007856052664
        33         1.776700562          1.80617094      0.007671781076
        34         1.797507974         1.805916147      0.007450370315
        35         1.847190651         1.807095419      0.007330238153
        36         1.878781148         1.809086689      0.007392139926
        37         1.859402271         1.810446569      0.007316367082
        38         1.798062307         1.810120668      0.007131085925
        39         1.775257606         1.809226743       0.00700404289
        40         1.808272228          1.80920288      0.006828982468
        41         1.773983016         1.808343859      0.006716232951
        42         1.743218613         1.806793258      0.006732940191
        43          1.74115283         1.805266736      0.006747191204
        44         1.768932377         1.804440956      0.006644186965
        45         1.788750614         1.804092281      0.006505680813
        46         1.785767963         1.803693927      0.006376437301
        47         1.803967388         1.803699745      0.006240771077
        48         1.785171727         1.803313745      0.006122680705
        49         1.794775571         1.803139496      0.006000207038
        50         1.801871402         1.803114134      0.005880256497
