#      BLOCK:      ACTUAL_PE:           PE_AVE:             ERROR:
         1       -0.3832036133       -0.3832036133                   0
         2       -0.3930806046       -0.3881421089      0.003492043759
         3       -0.4017017714       -0.3926619964      0.004363405612
         4       -0.4227297168       -0.4001789265      0.007286136802
         5       -0.4031797302       -0.4007790873      0.005853574943
         6       -0.3782661599       -0.3970269327      0.005960444631
         7       -0.3871082972       -0.3956099848      0.005274686462
         8       -0.3800635254       -0.3936666773        0.0049604284
         9       -0.3879288741       -0.3930291437      0.004450050267
        10       -0.3537127181       -0.3890975011       0.00547288034
        11       -0.3931139435       -0.3894626322      0.004987511017
        12       -0.3757127585       -0.3883168094      0.004701662909
        13        -0.409593733       -0.3899534959      0.004616086574
        14       -0.4196162612       -0.3920722648      0.004747784789
        15       -0.3967190218       -0.3923820486      0.004441360701
        16       -0.4025185535       -0.3930155802      0.004208717717
        17       -0.4187619611       -0.3945300732       0.00422486029
        18       -0.3760820792       -0.3935051846      0.004112578865
        19       -0.3837414422       -0.3929913034      0.003928101773
        20       -0.3825495992       -0.3924692182      0.003766232131
        21       -0.4394681596        -0.394707263      0.004199534727
        22        -0.495670146        -0.399296485      0.006014390319
        23       -0.4693363235       -0.4023416954      0.006478110903
        24       -0.4839065871       -0.4057402325      0.007043466534
        25        -0.452420572       -0.4076074461       0.00700485481
        26       -0.4918635025       -0.4108480637      0.007447402917
        27       -0.4549689635       -0.4124821711       0.00734866441
        28       -0.5130887432       -0.4160752629      0.007916036175
        29       -0.4499544734       -0.4172435116      0.007728793738
        30       -0.3664906611       -0.4155517499      0.007654083629
        31         -0.34255959       -0.4131971641      0.007760896517
        32       -0.3380973106       -0.4108502937      0.007865211181
        33       -0.3804549535       -0.4099292227      0.007680614004
        34       -0.4012610283       -0.4096742758      0.007458943689
        35       -0.4509016279       -0.4108522002       0.00733825114
        36       -0.4825063731       -0.4128425939      0.007399421508
        37       -0.4631100681       -0.4142011743      0.007323097087
        38       -0.4018029129       -0.4138749042      0.007137648551
        39         -0.37906086       -0.4129822364      0.007010230293
        40       -0.4121095303       -0.4129604188      0.006835008487
        41       -0.3778284116       -0.4121035405      0.006721798102
        42       -0.3470625973       -0.4105549467      0.006737779817
        43        -0.344795289       -0.4090256523      0.006752411531
        44       -0.3725739691        -0.408197205      0.006649574165
        45       -0.3924743977       -0.4078478092      0.006510978716
        46        -0.389500553       -0.4074489558      0.006381640606
        47       -0.4077485394         -0.40745533      0.006245864202
        48        -0.388941916       -0.4070696338       0.00612763926
        49       -0.3984289909       -0.4068932942       0.00600512219
        50       -0.4056613273       -0.4068686548      0.005885070295
