#      BLOCK:      ACTUAL_T:            T_AVE:             ERROR:
         1         1.186366593         1.186366593                   0
         2         1.192950772         1.189658683       0.00232785875
         3         1.198685842         1.192667736      0.002905972952
         4         1.212745867         1.197687269      0.004862809214
         5          1.19966803         1.198083421      0.003906350454
         6         1.183067034          1.19558069      0.003977014678
         7         1.188954397         1.194634076      0.003519724203
         8         1.184247836         1.193335796      0.003310551814
         9         1.189534034         1.192913378      0.002969540172
        10         1.166698916         1.190291932      0.003650684761
        11         1.192931375         1.190531881      0.003326680585
        12         1.181276433         1.189760594      0.003137594585
        13         1.203816997         1.190841856      0.003076915187
        14         1.210438836          1.19224164      0.003159535183
        15         1.195216834         1.192439986      0.002955118744
        16         1.199117406         1.192857325      0.002799738206
        17         1.209912605         1.193860577      0.002809053919
        18         1.181491209          1.19317339      0.002735758717
        19         1.186678073         1.192831531      0.002613043358
        20         1.185922118          1.19248606      0.002505124448
        21         1.223798726          1.19397714      0.002794573923
        22         1.261103683         1.197028346      0.004000312132
        23         1.243588175         1.199052686      0.004308248853
        24         1.253359959         1.201315489      0.004685447061
        25         1.232451934         1.202560947      0.004660620662
        26         1.258831273         1.204725191        0.0049584714
        27         1.234143662         1.205814764      0.004893071362
        28         1.272826298         1.208208033      0.005271214981
        29          1.23075382         1.208985474      0.005146461226
        30         1.175172812         1.207858385      0.005096836201
        31         1.159269936         1.206291016       0.00516780301
        32         1.156272157         1.204727926      0.005237368443
        33         1.184467041          1.20411396      0.005114520717
        34         1.198338649         1.203944098      0.004966913543
        35         1.231460434         1.204730279      0.004886825435
        36         1.252520765         1.206057793      0.004928093284
        37         1.239601514          1.20696438      0.004877578055
        38         1.198708205         1.206747112      0.004754057283
        39         1.183505071         1.206151162      0.004669361927
        40         1.205514819         1.206135253      0.004552654979
        41         1.182655344         1.205562573      0.004477488634
        42         1.162145742         1.204528839      0.004488626794
        43         1.160768554         1.203511158      0.004498127469
        44         1.179288252         1.202960637      0.004429457977
        45         1.192500409         1.202728188      0.004337120542
        46         1.190511975         1.202462618      0.004250958201
        47         1.202644926         1.202466497      0.004160514051
        48         1.190114485         1.202209163      0.004081787137
        49         1.196517047         1.202092997      0.004000138025
        50         1.201247601         1.202076089      0.003920170998
