#      BLOCK:      ACTUAL_TE:           TE_AVE:             ERROR:
         1         1.396346277         1.396346277                   0
         2         1.396345554         1.396345915     2.555016905e-07
         3         1.396326992         1.396339607     5.153145294e-06
         4         1.396389083         1.396351976       1.1387778e-05
         5         1.396322314         1.396346044     1.054282165e-05
         6         1.396334391         1.396344102     8.962791431e-06
         7         1.396323298          1.39634113      8.16025426e-06
         8         1.396308228         1.396337017     8.110669665e-06
         9         1.396372177         1.396340924     8.095849621e-06
        10         1.396335655         1.396340397     7.303388829e-06
        11         1.396283119          1.39633519     8.290414978e-06
        12         1.396201891         1.396324082      1.30714946e-05
        13         1.396131763         1.396309288     1.864423682e-05
        14         1.396041992         1.396290195     2.526283471e-05
        15          1.39610623         1.396277931     2.638824473e-05
        16         1.396157555         1.396270407     2.578919541e-05
        17         1.396106947         1.396260792     2.600297912e-05
        18         1.396154734           1.3962549     2.521709146e-05
        19         1.396275667         1.396255993     2.391355141e-05
        20         1.396333577         1.396259872     2.303036482e-05
        21         1.396229929         1.396258446     2.197777576e-05
        22         1.395985378         1.396246034     2.423156657e-05
        23         1.396045939         1.396237334     2.469041434e-05
        24         1.396133352         1.396233002      2.40387769e-05
        25         1.396257329         1.396233975     2.309691271e-05
        26         1.396383407         1.396239722     2.291250353e-05
        27          1.39624653         1.396239974     2.206527904e-05
        28         1.396150704         1.396236786     2.150633232e-05
        29         1.396176257         1.396234699     2.086577098e-05
        30         1.396268557         1.396235828     2.020074384e-05
        31         1.396345314         1.396239359     1.985545463e-05
        32         1.396310925         1.396241596     1.936051306e-05
        33         1.396245609         1.396241717      1.87742127e-05
        34         1.396246946         1.396241871     1.822265942e-05
        35         1.396289023         1.396243218     1.775174115e-05
        36         1.396274775         1.396244095     1.728026536e-05
        37         1.396292203         1.396245395     1.686207594e-05
        38         1.396259394         1.396245764     1.642236043e-05
        39         1.396196746         1.396244507     1.604929719e-05
        40         1.396162697         1.396242461     1.577784282e-05
        41         1.396154605         1.396240319     1.553784948e-05
        42         1.396156016         1.396238311     1.529699942e-05
        43         1.396357541         1.396241084     1.519047973e-05
        44         1.396358408         1.396243751     1.507745352e-05
        45         1.396276216         1.396244472     1.475964977e-05
        46          1.39626741         1.396244971     1.444720912e-05
        47         1.396218849         1.396244415       1.4150508e-05
        48         1.396229812         1.396244111     1.385897582e-05
        49          1.39634658         1.396246202     1.373300693e-05
        50         1.396210074         1.396245479     1.347734204e-05
