#      BLOCK:      ACTUAL_KE:           KE_AVE:             ERROR:
         1          1.64865384          1.64865384                   0
         2         1.642730036         1.645691938      0.002094380932
         3         1.664241102         1.651874993      0.005237967388
         4         1.631671236         1.646824054      0.005879363072
         5         1.666846538          1.65082855      0.005911989385
         6         1.636156452         1.648383201      0.005408795596
         7         1.581311645          1.63880155       0.01000930164
         8         1.647667172         1.639909753      0.008819274173
         9         1.603589503         1.635874169      0.008713889423
        10         1.649290911         1.637215844      0.007945117646
        11         1.614949506         1.635191631      0.007476247467
        12         1.615546175          1.63355451      0.007030187565
        13         1.626410176         1.633004946      0.006510848747
        14         1.622184139         1.632232031      0.006091492433
        15         1.659331938         1.634038691      0.005947277811
        16         1.656295645         1.635429751      0.005735949797
        17         1.675440682         1.637783335       0.00586154916
        18          1.64451637         1.638157393      0.005547830029
        19         1.642913457         1.638407712      0.005261483169
        20         1.651654109         1.639070032      0.005039923296
        21         1.666823282         1.640391615      0.004970182154
        22         1.625040334         1.639693829      0.004792997071
        23         1.605211542           1.6381946      0.004813374678
        24         1.662660505         1.639214012      0.004719532456
        25         1.587953034         1.637163573      0.004956191553
        26          1.61288151         1.636229648      0.004852763752
        27         1.651330181         1.636788927      0.004705149726
        28         1.643351289         1.637023297      0.004542942065
        29         1.653631407          1.63759599      0.004422239078
        30          1.62346375         1.637124916       0.00429984829
        31         1.680736809         1.638531751      0.004385254389
        32          1.62549962         1.638124497      0.004267083921
        33         1.625321355         1.637736523      0.004155378701
        34         1.600434501         1.636639404      0.004175483163
        35         1.639903388         1.636732661      0.004057224924
        36         1.633948997         1.636655337      0.003945260997
        37         1.628813169         1.636443387      0.003844321394
        38         1.631078487         1.636302205       0.00374574657
        39         1.620865433          1.63590639      0.003670555166
        40         1.623319514         1.635591718       0.00359225417
        41         1.623318973         1.635292383      0.003517087602
        42         1.645944044         1.635545994      0.003442478997
        43         1.606047237         1.634859977      0.003430095163
        44         1.625895095         1.634656229      0.003358184288
        45         1.590136998         1.633666913      0.003426185878
        46         1.627311829         1.633528759       0.00335448781
        47         1.592919265         1.632664727      0.003392567723
        48         1.620067239          1.63240228      0.003332025188
        49         1.636545116         1.632486827      0.003265097165
        50         1.621089601         1.632258883       0.00320774204
