#      BLOCK:      ACTUAL_PE:           PE_AVE:             ERROR:
         1        -5.486157267        -5.486157267                   0
         2        -5.480092987        -5.483125127      0.002144046767
         3        -5.501596026        -5.489282093      0.005226398434
         4         -5.46958263        -5.484357227      0.005792715268
         5        -5.504201152        -5.488326012      0.005837512693
         6        -5.472463268        -5.485682222      0.005430374301
         7        -5.416745654        -5.475834141       0.01023694802
         8        -5.485466744        -5.477038216      0.009027863808
         9        -5.441476606        -5.473086926      0.008847307353
        10        -5.485525627        -5.474330796      0.008049541481
        11        -5.452037847        -5.472304164      0.007568588728
        12        -5.451235059        -5.470548406      0.007138618915
        13        -5.461735053        -5.469870455      0.006621608382
        14        -5.458698575        -5.469072464      0.006196534058
        15        -5.495222032        -5.470815769      0.006023668867
        16        -5.493677656        -5.472244636      0.005814190365
        17        -5.514809547        -5.474748455      0.005987076055
        18        -5.482518551        -5.475180127      0.005670001277
        19        -5.480292663        -5.475449208      0.005377961243
        20        -5.487555563        -5.476054525      0.005143016206
        21        -5.502896509        -5.477332715      0.005054449386
        22        -5.461549194        -5.476615282      0.004875352319
        23        -5.440555408        -5.475047462      0.004909002627
        24        -5.498985894        -5.476044896      0.004804724201
        25        -5.423177357        -5.473930195       0.00505653691
        26        -5.449347082         -5.47298469      0.004949663707
        27        -5.488972083        -5.473576816      0.004801630045
        28         -5.47962655        -5.473792878      0.004635001846
        29        -5.490175995        -5.474357813      0.004509471198
        30        -5.460662613        -5.473901306      0.004382201311
        31        -5.518077973         -5.47532636      0.004466541503
        32         -5.46109529        -5.474881639      0.004349045534
        33        -5.463245135        -5.474529018      0.004231527428
        34        -5.439367236        -5.473494848      0.004231557828
        35        -5.478406127         -5.47363517      0.004112982124
        36         -5.47194132        -5.473588119      0.003999001739
        37        -5.467443387        -5.473422045      0.003894367509
        38        -5.468704251        -5.473297892      0.003793862628
        39        -5.456162264        -5.472858517       0.00372193961
        40        -5.461083857        -5.472564151      0.003640513165
        41        -5.460042188        -5.472258737      0.003564508184
        42        -5.483753801        -5.472532429      0.003490130508
        43        -5.440490592         -5.47178727      0.003487605065
        44        -5.461530616        -5.471554164      0.003416122634
        45        -5.424877446        -5.470516904      0.003494137215
        46        -5.462807125          -5.4703493      0.003422195092
        47         -5.43011576        -5.469493267      0.003454788478
        48         -5.45665481        -5.469225799       0.00339315153
        49        -5.473000333        -5.469302831      0.003324777807
        50        -5.458733535        -5.469091445      0.003264995184
