#      BLOCK:      ACTUAL_P:            P_AVE:             ERROR:
         1         1.186852138         1.186852138                   0
         2         1.119860189         1.153356164       0.02368523061
         3         1.080389922         1.129034083       0.02537133601
         4         1.253413133         1.160128846       0.03297342981
         5         1.094627366          1.14702855       0.02886403173
         6         1.208955981         1.157349788       0.02583287479
         7         1.407936416         1.193147878       0.03985875123
         8         1.081118209         1.179144169       0.03725526355
         9         1.282926743         1.190675566       0.03485475381
        10         1.143652963         1.185973306       0.03168488213
        11         1.319511755         1.198113165        0.0310430992
        12         1.289807933         1.205754396       0.02938156836
        13         1.200416142         1.205343761       0.02712431707
        14         1.220747218         1.206444008        0.0252091707
        15         1.066267206         1.197098888       0.02520123586
        16         1.090421796         1.190431569       0.02449224739
        17         1.016465726         1.180198284       0.02509846624
        18         1.067429328         1.173933342       0.02447352978
        19         1.082999818         1.169147367       0.02364878556
        20          1.15906139         1.168643069        0.0224717226
        21         1.093083704         1.165045004       0.02168778023
        22         1.325460629         1.172336623       0.02189343839
        23         1.381832041         1.181445119       0.02275754935
        24         1.041420348         1.175610754       0.02254479656
        25         1.345634131         1.182411689       0.02264557929
        26         1.393115326         1.190515675       0.02317933674
        27         1.202967368         1.190976849       0.02232543005
        28         1.134052257         1.188943828       0.02162046163
        29         1.182027048         1.188705318       0.02087624401
        30         1.217301578         1.189658527       0.02020211923
        31         0.975358477         1.182745622       0.02069942804
        32         1.227116286         1.184132205       0.02009895847
        33         1.202423478         1.184686486        0.0194975405
        34         1.448217591         1.192437401       0.02040663258
        35         1.318822092         1.196048392       0.02014053788
        36          1.24071855          1.19728923       0.01961926463
        37         1.160846652         1.196304295       0.01911372129
        38         1.080904055         1.193267447       0.01885043693
        39         1.201346147         1.193474593       0.01836823052
        40         1.287261815         1.195819274        0.0180580524
        41         1.379880972         1.200308583       0.01816707458
        42         1.228756487         1.200985914       0.01774714731
        43         1.374981085         1.205032314       0.01778973837
        44         1.246241243          1.20596888       0.01741006213
        45         1.332684421         1.208784781       0.01724939046
        46         1.176245635         1.208077408       0.01688890166
        47         1.235664441         1.208664367       0.01653975977
        48          1.13649372         1.207160811       0.01626337857
        49          1.16590889         1.206318935       0.01595324791
        50         1.295336088         1.208099279       0.01573321028
