#      BLOCK:      ACTUAL_T:            T_AVE:             ERROR:
         1          1.09910256          1.09910256                   0
         2         1.095153357         1.097127959      0.001396253955
         3         1.109494068         1.101249995      0.003491978259
         4         1.087780824         1.097882702      0.003919575382
         5         1.111231025         1.100552367      0.003941326257
         6         1.090770968         1.098922134       0.00360586373
         7         1.054207764         1.092534367      0.006672867763
         8         1.098444782         1.093273169      0.005879516115
         9         1.069059668          1.09058278      0.005809259615
        10         1.099527274         1.091477229      0.005296745097
        11         1.076633004         1.090127754      0.004984164978
        12         1.077030784          1.08903634       0.00468679171
        13         1.084273451         1.088669964      0.004340565831
        14         1.081456092         1.088154687      0.004060994956
        15         1.106221292         1.089359128      0.003964851874
        16         1.104197097         1.090286501      0.003823966531
        17         1.116960454         1.091855557       0.00390769944
        18         1.096344247         1.092104928      0.003698553353
        19         1.095275638         1.092271808      0.003507655446
        20         1.101102739         1.092713354      0.003359948864
        21         1.111215521          1.09359441       0.00331345477
        22         1.083360223          1.09312922      0.003195331381
        23         1.070141028         1.092129733      0.003208916452
        24         1.108440337         1.092809342      0.003146354971
        25         1.058635356         1.091442382      0.003304127702
        26          1.07525434         1.090819765      0.003235175835
        27         1.100886788         1.091192618      0.003136766484
        28         1.095567526         1.091348865      0.003028628043
        29         1.102420938          1.09173066      0.002948159385
        30         1.082309166          1.09141661      0.002866565527
        31         1.120491206         1.092354501      0.002923502926
        32         1.083666413         1.092082998      0.002844722614
        33          1.08354757         1.091824348      0.002770252467
        34         1.066956334         1.091092936      0.002783655442
        35         1.093268925         1.091155107      0.002704816616
        36         1.089299331         1.091103558      0.002630173998
        37         1.085875446         1.090962258      0.002562880929
        38         1.087385658         1.090868137       0.00249716438
        39         1.080576955          1.09060426      0.002447036777
        40         1.082213009         1.090394479      0.002394836113
        41         1.082212649         1.090194922      0.002344725068
        42         1.097296029         1.090363996      0.002294985998
        43         1.070698158         1.089906651      0.002286730108
        44         1.083930063          1.08977082      0.002238789525
        45         1.060091332         1.089111275      0.002284123919
        46         1.084874553         1.089019173      0.002236325207
        47         1.061946177         1.088443151      0.002261711816
        48         1.080044826         1.088268186      0.002221350125
        49         1.091030077         1.088324551      0.002176731443
        50           1.0807264         1.088172588      0.002138494693
