#      BLOCK:      ACTUAL_TE:           TE_AVE:             ERROR:
         1        -3.837503427        -3.837503427                   0
         2        -3.837362951        -3.837433189     4.966583627e-05
         3        -3.837354924          -3.8374071     3.937054107e-05
         4        -3.837911394        -3.837533174     0.0001131051436
         5        -3.837354614        -3.837497462     9.595652149e-05
         6        -3.836306816        -3.837299021     0.0001980149281
         7        -3.835434009        -3.837032591     0.0002994188117
         8        -3.837799571        -3.837128463     0.0002769154006
         9        -3.837887104        -3.837212757     0.0002586585542
        10        -3.836234716        -3.837114953     0.0002506022827
        11        -3.837088341        -3.837112533     0.0002278319331
        12        -3.835688883        -3.836993896     0.0002377363604
        13        -3.835324877         -3.83686551      0.000251739753
        14        -3.836514437        -3.836840433     0.0002350040069
        15        -3.835890095        -3.836777077     0.0002277171993
        16        -3.837382011        -3.836814886     0.0002166008334
        17        -3.839368865         -3.83696512     0.0002506019846
        18        -3.838002181        -3.837022734     0.0002432124083
        19        -3.837379206        -3.837041496     0.0002311342727
        20        -3.835901454        -3.836984494     0.0002264974172
        21        -3.836073228          -3.8369411     0.0002198293234
        22         -3.83650886        -3.836921453     0.0002107132397
        23        -3.835343866        -3.836852862     0.0002124223738
        24        -3.836325388        -3.836830884     0.0002047052537
        25        -3.835224323        -3.836766622     0.0002063575105
        26        -3.836465571        -3.836755043     0.0001987452666
        27        -3.837641902        -3.836787889     0.0001940796323
        28        -3.836275262        -3.836769581     0.0001880097656
        29        -3.836544587        -3.836761823     0.0001816866786
        30        -3.837198863        -3.836776391     0.0001762135348
        31        -3.837341165        -3.836794609     0.0001714684362
        32         -3.83559567        -3.836757142     0.0001701541827
        33         -3.83792378        -3.836792495     0.0001686305868
        34        -3.838932735        -3.836855443     0.0001750259621
        35        -3.838502739        -3.836902509     0.0001762397645
        36        -3.837992323        -3.836932782     0.0001739247412
        37        -3.838630218        -3.836978658     0.0001751701247
        38        -3.837625764        -3.836995687     0.0001713861256
        39        -3.835296831        -3.836952127     0.0001724385488
        40        -3.837764343        -3.836972432     0.0001693188905
        41        -3.836723214        -3.836966354     0.0001652982336
        42        -3.837809757        -3.836986435     0.0001625777437
        43        -3.834443355        -3.836927293     0.0001692123139
        44        -3.835635521        -3.836897935     0.0001678941199
        45        -3.834740448        -3.836849991     0.0001708715811
        46        -3.835495296        -3.836820541     0.0001696758632
        47        -3.837196495         -3.83682854     0.0001662541805
        48        -3.836587571         -3.83682352     0.0001628663284
        49        -3.836455217        -3.836816003     0.0001597158745
        50        -3.837643934        -3.836832562     0.0001573775768
