#      BLOCK:      ACTUAL_KE:           KE_AVE:             ERROR:
         1         1.201059352         1.201059352                   0
         2         1.203012546         1.202035949     0.0006905585373
         3         1.203018635         1.202363511      0.000532422684
         4         1.199897192         1.201746931     0.0006667697774
         5         1.199294865         1.201256518     0.0006906059779
         6         1.204619181         1.201816962     0.0007700349063
         7         1.202453903         1.201907953     0.0006653842387
         8         1.206645521         1.202500149     0.0008036348652
         9         1.209940322         1.203326835      0.001057241596
        10         1.201568953         1.203151047     0.0009660211126
        11         1.202708121         1.203110781     0.0008790398022
        12         1.203006909         1.203102125     0.0008058291026
        13         1.198658533          1.20276031      0.000813112011
        14         1.202497028         1.202741504     0.0007552500236
        15          1.20407132         1.202830159     0.0007100842693
        16         1.204966711         1.202963693     0.0006781436588
        17         1.206495774         1.203171463     0.0006693246954
        18         1.199917278         1.202990675     0.0006561017407
        19         1.205830302         1.203140129     0.0006383653042
        20         1.202902508         1.203128248     0.0006065575917
        21         1.203574613         1.203149503     0.0005780462033
        22         1.203400058         1.203160892     0.0005518835582
        23         1.198264324         1.202947998     0.0005674678487
        24         1.203825044         1.202984541     0.0005449987451
        25         1.206922274         1.203142051     0.0005454849158
        26         1.196729491         1.202895414      0.000577577157
        27         1.202587803         1.202884021     0.0005562977653
        28         1.198324712         1.202721188     0.0005597540528
        29         1.208203919         1.202910248     0.0005714889235
        30         1.206762093         1.203038643     0.0005666788296
        31         1.207497305         1.203182471     0.0005663571821
        32         1.206221831         1.203277451     0.0005565657752
        33         1.202397996           1.2032508     0.0005403378154
        34         1.208871891         1.203416127     0.0005491556746
        35         1.200446799         1.203331289      0.000539978969
        36         1.196855644          1.20315141     0.0005541310346
        37         1.211397012         1.203374264     0.0005822450432
        38         1.197002918         1.203206597     0.0005905708172
        39         1.202362336         1.203184949     0.0005758245941
        40         1.203349507         1.203189063     0.0005614436751
        41         1.198870029         1.203083721     0.0005575449051
        42         1.210173895         1.203252534     0.0005692533625
        43         1.198520701         1.203142492     0.0005665512787
        44          1.20154369         1.203106155     0.0005548391279
        45         1.200793963         1.203054773     0.0005448833483
        46         1.203861543         1.203072312     0.0005333202437
        47         1.204975487         1.203112805     0.0005235079949
        48         1.202280145         1.203095458     0.0005128889063
        49          1.19897809          1.20301143     0.0005092585248
        50         1.207357314         1.203098348     0.0005064363774
