#      BLOCK:      ACTUAL_PE:           PE_AVE:             ERROR:
         1        -7.518313187        -7.518313187                   0
         2        -7.520735543        -7.519524365     0.0008564323579
         3        -7.521473096        -7.520173942     0.0007792880593
         4        -7.518566947        -7.519772193     0.0006801853161
         5        -7.517047941        -7.519227343     0.0007304703157
         6        -7.523271265         -7.51990133     0.0008655028918
         7        -7.520819556        -7.520032505     0.0007517343281
         8        -7.525061209        -7.520661093     0.0008822645015
         9        -7.527972469        -7.521473468      0.001096197926
        10        -7.520277086         -7.52135383     0.0009930852902
        11        -7.520189617        -7.521247992     0.0009084270947
        12        -7.520501687          -7.5211858     0.0008348510026
        13        -7.518028614         -7.52094294     0.0008051816107
        14        -7.520021978        -7.520877157     0.0007503510492
        15        -7.521688545        -7.520931249     0.0007022746948
        16         -7.52274177        -7.521044407     0.0006674368037
        17        -7.525244359        -7.521291463     0.0006723474737
        18        -7.516783262        -7.521041007      0.000680045266
        19        -7.524374611         -7.52121646     0.0006665027752
        20        -7.520647177        -7.521187996     0.0006337851487
        21        -7.521531065        -7.521204333     0.0006038154165
        22        -7.521957538        -7.521238569     0.0005773390598
        23         -7.51679797          -7.5210455     0.0005836276734
        24         -7.52186165        -7.521079506     0.0005602997005
        25        -7.525842904        -7.521270042     0.0005693636517
        26        -7.515051528        -7.521030868     0.0005955852953
        27        -7.521938596        -7.521064488     0.0005744746744
        28         -7.51660531        -7.520905231     0.0005756091887
        29        -7.526349101        -7.521092951     0.0005855709802
        30        -7.524843974        -7.521217985      0.000579247112
        31        -7.526374725        -7.521384332     0.0005839588743
        32        -7.524479714        -7.521481062     0.0005736657664
        33        -7.520720922        -7.521458028     0.0005567442199
        34        -7.527491022        -7.521635469     0.0005679422075
        35        -7.518386189        -7.521542632     0.0005592514096
        36        -7.514448283        -7.521345567     0.0005773939406
        37        -7.528869785        -7.521548924     0.0005965258018
        38        -7.515831407        -7.521398463     0.0005995028224
        39        -7.520941664         -7.52138675     0.0005842453635
        40         -7.52128355         -7.52138417     0.0005696449257
        41        -7.516946828        -7.521275943     0.0005659389703
        42        -7.528140854        -7.521439393     0.0005755837241
        43        -7.515679149        -7.521305434     0.0005775763002
        44        -7.519796945         -7.52127115     0.0005654661616
        45        -7.518586938        -7.521211501     0.0005560374424
        46        -7.522052087        -7.521229774      0.000544249861
        47        -7.523147334        -7.521270573     0.0005341971223
        48        -7.520212693        -7.521248534     0.0005235224492
        49        -7.516836579        -7.521158494     0.0005205236525
        50        -7.524850022        -7.521232325     0.0005153226038
