#      BLOCK:      ACTUAL_P:            P_AVE:             ERROR:
         1         7.907412207         7.907412207                   0
         2         7.902900165         7.905156186      0.001595247854
         3         7.897899376         7.902737249      0.002243182148
         4         7.927174083         7.908846458      0.005551778695
         5         7.924869595         7.912051085      0.005286014356
         6         7.890145747         7.908400196      0.005523733023
         7         7.909904153         7.908615047      0.004738804887
         8         7.895567113         7.906984055      0.004418223674
         9         7.896382216         7.905806073      0.004081326088
        10         7.947401725         7.909965638       0.00539111629
        11          7.91800355         7.910696357      0.004950288462
        12          7.91267312         7.910861088      0.004540504453
        13         7.924418772         7.911903986      0.004309341402
        14          7.90557184          7.91145169      0.004025197175
        15         7.908530989         7.911256977      0.003761557248
        16         7.888064089         7.909807421      0.003795497991
        17         7.906838762         7.909632794      0.003576248353
        18         7.948379596         7.911785394      0.003972936554
        19         7.900072868         7.911168946      0.003811359299
        20         7.895813624          7.91040118      0.003697312723
        21         7.894635185         7.909650418      0.003596665954
        22         7.890517521         7.908780741      0.003536762934
        23         7.921880415         7.909350292      0.003428543451
        24          7.89749192         7.908856193      0.003321099756
        25         7.877960901         7.907620381      0.003410442218
        26         7.944934694         7.909055547      0.003568487422
        27          7.89829717         7.908657089      0.003458495669
        28         7.907186864         7.908604581       0.00333537654
        29         7.886142656         7.907830032      0.003309075498
        30         7.921889032         7.908298665      0.003231786692
        31         7.893019968         7.907805804      0.003164894094
        32          7.90728865         7.907789643      0.003066032415
        33         7.903383941         7.907656137      0.002976027591
        34         7.869637226         7.906537933      0.003091442985
        35         7.895109606          7.90621141      0.003020310817
        36         7.936228921         7.907045229      0.003049338578
        37         7.854168947         7.905616141      0.003284773287
        38         7.935761144          7.90640943      0.003292730545
        39         7.901765494         7.906290355      0.003210453899
        40          7.89851075         7.906095865       0.00313607815
        41          7.94262627          7.90698685      0.003183641665
        42         7.865500752         7.905999086      0.003257471633
        43          7.92457657         7.906431121      0.003210238742
        44         7.903428574         7.906362881      0.003138003968
        45         7.925765526         7.906794051      0.003097750852
        46         7.910973331         7.906884905      0.003031740476
        47         7.897156327         7.906677914      0.002974293086
        48         7.894397949         7.906422081      0.002923310609
        49         7.920511353         7.906709617       0.00287775746
        50         7.881437821         7.906204181      0.002864244619
