#      BLOCK:      ACTUAL_TE:           TE_AVE:             ERROR:
         1        -6.317253835        -6.317253835                   0
         2        -6.317722997        -6.317488416     0.0001658738151
         3        -6.318454462        -6.317810431      0.000285232774
         4        -6.318669755        -6.318025262     0.0002835101179
         5        -6.317753077        -6.317970825     0.0002319754885
         6        -6.318652084        -6.318084368     0.0002193473603
         7        -6.318365653        -6.318124552     0.0001916574248
         8        -6.318415688        -6.318160944     0.0001711204326
         9        -6.318032147        -6.318146633     0.0001527042823
        10        -6.318708133        -6.318202783     0.0001473960777
        11        -6.317481496        -6.318137212     0.0001478641153
        12        -6.317494778        -6.318083675     0.0001449101001
        13        -6.319370081         -6.31818263     0.0001641075937
        14        -6.317524949        -6.318135653     0.0001589672877
        15        -6.317617225        -6.318101091     0.0001520801985
        16        -6.317775059        -6.318080714     0.0001439338542
        17        -6.318748585            -6.31812     0.0001407266606
        18        -6.316865984        -6.318050333     0.0001491596361
        19        -6.318544309        -6.318076331     0.0001435570597
        20        -6.317744669        -6.318059748     0.0001373336714
        21        -6.317956452        -6.318054829     0.0001308820322
        22         -6.31855748        -6.318077677     0.0001269114172
        23        -6.318533646        -6.318097502     0.0001229321788
        24        -6.318036606        -6.318094965     0.0001178361881
        25         -6.31892063        -6.318127991     0.0001176600217
        26        -6.318322037        -6.318135454     0.0001133710922
        27        -6.319350794        -6.318180467     0.0001177694759
        28        -6.318280598        -6.318184043     0.0001136177048
        29        -6.318145182        -6.318182703     0.0001097077562
        30        -6.318081881        -6.318179342     0.0001061022927
        31         -6.31887742        -6.318201861     0.0001050420805
        32        -6.318257883        -6.318203612      0.000101774103
        33        -6.318322925        -6.318207227      9.87542401e-05
        34        -6.318619131        -6.318219342     9.658994755e-05
        35         -6.31793939        -6.318211343     9.416083635e-05
        36        -6.317592639        -6.318194157      9.31004613e-05
        37        -6.317472773         -6.31817466     9.260322907e-05
        38        -6.318828489        -6.318191866      9.17508468e-05
        39        -6.318579329        -6.318201801     8.993453787e-05
        40        -6.317934043        -6.318195107     8.793494374e-05
        41        -6.318076799        -6.318192222     8.583751992e-05
        42        -6.317966959        -6.318186858     8.396116378e-05
        43        -6.317158448        -6.318162942     8.534696383e-05
        44        -6.318253255        -6.318164994     8.343193892e-05
        45        -6.317792975        -6.318156727     8.198645791e-05
        46        -6.318190544        -6.318157462     8.020743875e-05
        47        -6.318171847        -6.318157769      7.85014823e-05
        48        -6.317932548        -6.318153076     7.700613022e-05
        49        -6.317858488        -6.318147064     7.566889651e-05
        50        -6.317492707        -6.318133977     7.527874086e-05
