#      BLOCK:      ACTUAL_KE:           KE_AVE:             ERROR:
         1         1.876439095         1.876439095                   0
         2         2.051047684          1.96374339       0.06173345885
         3         2.100820175         2.009435651       0.05554855386
         4         2.071358476         2.024916358       0.04376542846
         5         2.164561747         2.052845435       0.04301035756
         6         2.176351902         2.073429847       0.04046905912
         7           2.1480478         2.084089554       0.03606435411
         8         2.132804668         2.090178943       0.03206627933
         9         2.173722548         2.099461566       0.02981668092
        10         2.158927903           2.1054082       0.02742159953
        11          2.15855049         2.110239317       0.02535072634
        12         2.200915477         2.117795664       0.02433829344
        13         2.158963774         2.120962441       0.02267120361
        14         2.168051733         2.124325962       0.02129987815
        15          2.11938745         2.123996728       0.01988243061
        16         2.162867708         2.126426164       0.01878761893
        17         2.169066284         2.128934407       0.01784911114
        18         2.165673613         2.130975474       0.01697379191
        19         2.168100993         2.132929448       0.01619251187
        20         2.185056754         2.135535814       0.01559123706
        21         2.160798186         2.136738784       0.01489513357
        22         2.129616543         2.136415046       0.01422159976
        23         2.106367546         2.135108633        0.0136631419
        24         2.129336881         2.134868143       0.01309596062
        25         2.117677889         2.134180533       0.01259016091
        26         2.117197749         2.133527349       0.01212285587
        27         2.100844635         2.132316878       0.01173413854
        28         2.102753286         2.131261035       0.01136246544
        29         2.138721355         2.131518288       0.01097356807
        30         2.106689455          2.13069066       0.01063894658
        31         2.098396845         2.129648924       0.01034663099
        32         2.120471703         2.129362136       0.01002727258
        33         2.121856956         2.129134706      0.009725994676
        34         2.117148313         2.128782165      0.009446323176
        35         2.112814569         2.128325948      0.009187438289
        36         2.125106208         2.128236511      0.008932666983
        37         2.134816246         2.128414342      0.008693013489
        38         2.136705394         2.128632527      0.008466987649
        39         2.139612833         2.128914073      0.008254565097
        40         2.187776372         2.130385631      0.008178317872
        41         2.112700156         2.129954278       0.00799021414
        42         2.147648618         2.130375572      0.007811069666
        43         2.088630568         2.129404758      0.007689509979
        44         2.090936515         2.128530479      0.007564286743
        45         2.113553371         2.128197655      0.007403509915
        46         2.148647072         2.128642207      0.007255898615
        47         2.093992688         2.127904984      0.007138871769
        48         2.135277735         2.128058583      0.006991797486
        49         2.108855198         2.127666677      0.006860082545
        50         2.135367355          2.12782069      0.006724609527
