#      BLOCK:      ACTUAL_PE:           PE_AVE:             ERROR:
         1       -0.1123189847       -0.1123189847                   0
         2       -0.2871686278       -0.1997438062       0.06181868419
         3       -0.3369749757       -0.2454875294        0.0556188698
         4        -0.307601629       -0.2610160543       0.04382832213
         5       -0.4008178246       -0.2889764084       0.04306756418
         6       -0.4126595662        -0.309590268       0.04052376305
         7       -0.3844203766       -0.3202802835        0.0361171347
         8       -0.3691835621       -0.3263931933       0.03211563892
         9       -0.4099130228       -0.3356731744       0.02985789643
        10       -0.3951316443       -0.3416190214       0.02745774772
        11       -0.3948009772       -0.3464537446       0.02538366615
        12        -0.437226815       -0.3540181672       0.02436942184
        13       -0.3953380991       -0.3571966235       0.02270118458
        14       -0.4043881379       -0.3605674459       0.02132846424
        15       -0.3556214859       -0.3602377153       0.01990911522
        16       -0.3990980564       -0.3626664866       0.01881235867
        17       -0.4053266315       -0.3651759069       0.01787233412
        18       -0.4020642611       -0.3672252599       0.01699651634
        19       -0.4043710145       -0.3691802996       0.01621401309
        20       -0.4213060217       -0.3717865857       0.01561137806
        21       -0.3970174581       -0.3729880558       0.01491414072
        22       -0.3658538184       -0.3726637723        0.0142397503
        23       -0.3424963367       -0.3713521447       0.01368090457
        24       -0.3654478637        -0.371106133        0.0131130786
        25        -0.353810018       -0.3704142884       0.01260679307
        26        -0.353447112       -0.3697617047       0.01213879498
        27       -0.3370457017       -0.3685500008       0.01174953094
        28       -0.3389671474       -0.3674934704       0.01137730785
        29       -0.3749180412         -0.36774949       0.01098786707
        30       -0.3428647704       -0.3669199994       0.01065286858
        31       -0.3346378765       -0.3658786406       0.01036000104
        32       -0.3566767305       -0.3655910809       0.01004024107
        33       -0.3580558197       -0.3653627397      0.009738587529
        34       -0.3534063292       -0.3650110805      0.009458505536
        35       -0.3490298709       -0.3645544745      0.009199277165
        36        -0.361249507       -0.3644626699      0.008944199761
        37       -0.3709481427       -0.3646379529      0.008704182008
        38       -0.3728746489       -0.3648547081      0.008477823021
        39       -0.3758031077       -0.3651354363      0.008265089547
        40       -0.4240679597       -0.3666087494       0.00818872395
        41       -0.3489711537       -0.3661785641      0.008000290642
        42       -0.3838755911       -0.3665999219      0.007820895656
        43       -0.3248927175       -0.3656299869      0.007698924329
        44       -0.3271381283       -0.3647551719       0.00757348752
        45       -0.3496930728       -0.3644204586      0.007412580501
        46       -0.3847974839       -0.3648634374      0.007264661685
        47       -0.3301502425       -0.3641248588      0.007147540459
        48       -0.3714671544       -0.3642778233      0.007000269971
        49       -0.3451741009       -0.3638879514      0.006868255469
        50       -0.3716351001       -0.3640428944      0.006732637834
