#      BLOCK:      ACTUAL_T:            T_AVE:             ERROR:
         1         1.250959397         1.250959397                   0
         2         1.367365123          1.30916226       0.04115563923
         3         1.400546783         1.339623768       0.03703236924
         4         1.380905651         1.349944238       0.02917695231
         5         1.443041164         1.368563624        0.0286735717
         6         1.450901268         1.382286564       0.02697937275
         7         1.432031866         1.389393036       0.02404290274
         8         1.421869779         1.393452629       0.02137751955
         9         1.449148365         1.399641044       0.01987778728
        10         1.439285269         1.403605467       0.01828106635
        11          1.43903366         1.406826211       0.01690048423
        12         1.467276985         1.411863776       0.01622552896
        13         1.439309182         1.413974961       0.01511413574
        14         1.445367822         1.416217308       0.01419991876
        15         1.412924967         1.415997819       0.01325495374
        16         1.441911805         1.417617443       0.01252507929
        17         1.446044189         1.419289604       0.01189940743
        18         1.443782409         1.420650316       0.01131586127
        19         1.445400662         1.421952966       0.01079500791
        20         1.456704503         1.423690542       0.01039415804
        21         1.440532124         1.424492523      0.009930089049
        22         1.419744362         1.424276697      0.009481066504
        23         1.404245031         1.423405755      0.009108761265
        24         1.419557921         1.423245429      0.008730640412
        25         1.411785259         1.422787022       0.00839344061
        26         1.411465166         1.422351566      0.008081903917
        27          1.40056309         1.421544585      0.007822759026
        28         1.401835524          1.42084069      0.007574976959
        29         1.425814236         1.421012192      0.007315712044
        30         1.404459637          1.42046044      0.007092631051
        31          1.39893123         1.419765949      0.006897753993
        32         1.413647802         1.419574757      0.006684848389
        33         1.414571304         1.419423137      0.006483996451
        34         1.411432209          1.41918811      0.006297548784
        35         1.408543046         1.418883965       0.00612495886
        36         1.416737472         1.418824341      0.005955111322
        37         1.423210831         1.418942894      0.005795342326
        38         1.424470263         1.419088351      0.005644658433
        39         1.426408555         1.419276049      0.005503043398
        40         1.458517582         1.420257087      0.005452211915
        41         1.408466771         1.419969519      0.005326809427
        42         1.431765745         1.420250381      0.005207379777
        43         1.392420379         1.419603172      0.005126339986
        44         1.393957677          1.41902032      0.005042857828
        45         1.409035581         1.418798437      0.004935673277
        46         1.432431381         1.419094805      0.004837265743
        47         1.395995125         1.418603322      0.004759247846
        48          1.42351849         1.418705722      0.004661198324
        49         1.405903465         1.418444451      0.004573388363
        50         1.423578237         1.418547127      0.004483073018
