#      BLOCK:      ACTUAL_TE:           TE_AVE:             ERROR:
         1          1.76412011          1.76412011                   0
         2         1.763879057         1.763999583     8.522533611e-05
         3         1.763845199         1.763948122      7.06658983e-05
         4         1.763756847         1.763900303     6.726007497e-05
         5         1.763743922         1.763869027     6.064543775e-05
         6         1.763692336         1.763839579     5.724294795e-05
         7         1.763627423         1.763809271     5.652219466e-05
         8         1.763621106          1.76378575     5.412994121e-05
         9         1.763809525         1.763788392     4.817991885e-05
        10         1.763796259         1.763789178     4.336835039e-05
        11         1.763749513         1.763785572     3.957540314e-05
        12         1.763688662         1.763777497     3.709229029e-05
        13         1.763625675         1.763765818     3.603068541e-05
        14         1.763663595         1.763758516     3.418889788e-05
        15         1.763765964         1.763759013     3.191324284e-05
        16         1.763769651         1.763759678      2.99255911e-05
        17         1.763739652           1.7637585      2.81884374e-05
        18         1.763609352         1.763750214     2.781359783e-05
        19         1.763729979         1.763749149     2.637010508e-05
        20         1.763750733         1.763749228     2.505171857e-05
        21         1.763780727         1.763750728     2.390364251e-05
        22         1.763762724         1.763751273     2.282333349e-05
        23         1.763871209         1.763756488     2.241880913e-05
        24         1.763889017          1.76376201      2.21543345e-05
        25         1.763867871         1.763766244     2.166905363e-05
        26         1.763750637         1.763765644     2.084394065e-05
        27         1.763798933         1.763766877     2.010837419e-05
        28         1.763786139         1.763767565     1.940198179e-05
        29         1.763803313         1.763768798      1.87720666e-05
        30         1.763824684         1.763770661      1.82385323e-05
        31         1.763758968         1.763770283     1.765409201e-05
        32         1.763794973         1.763771055     1.711925248e-05
        33         1.763801136         1.763771966     1.662473821e-05
        34         1.763741984         1.763771085     1.615914611e-05
        35         1.763784698         1.763771474     1.570213635e-05
        36         1.763856701         1.763773841     1.544340639e-05
        37         1.763868103         1.763776389     1.523470315e-05
        38         1.763830745         1.763777819     1.490079297e-05
        39         1.763809725         1.763778637     1.454116274e-05
        40         1.763708413         1.763776882     1.428322123e-05
        41         1.763729002         1.763775714       1.3982507e-05
        42         1.763773027          1.76377565     1.364973594e-05
        43         1.763737851         1.763774771     1.336057649e-05
        44         1.763798386         1.763775307     1.306770281e-05
        45         1.763860298         1.763777196     1.291307457e-05
        46         1.763849588          1.76377877     1.272789164e-05
        47         1.763842445         1.763780125     1.252898154e-05
        48          1.76381058         1.763780759     1.228401658e-05
        49         1.763681097         1.763778725     1.220054439e-05
        50         1.763732255         1.763777796     1.199188054e-05
