#      BLOCK:      ACTUAL_KE:           KE_AVE:             ERROR:
         1        0.9074135385        0.9074135385                   0
         2        0.8581594283        0.8827864834       0.01741395768
         3        0.8249682276        0.8635137315       0.01955510018
         4        0.8401201575         0.857665338       0.01551624545
         5        0.8229592529         0.850724121       0.01387900837
         6        0.8283570592        0.8469962773       0.01205609156
         7         0.819003198         0.842997266       0.01097701144
         8        0.8206794623        0.8402075405      0.009953068028
         9        0.8364499807        0.8397900339      0.008855923938
        10        0.8320775144        0.8390187819      0.008003844797
        11        0.8411771783        0.8392149998       0.00727862733
        12        0.8399929621          0.83927983      0.006672363765
        13        0.8134612525        0.8372937856      0.006447909253
        14        0.8262803559         0.836507112      0.006035142349
        15        0.8552010611        0.8377533753      0.005760039743
        16        0.8374615962        0.8377351391      0.005400066127
        17        0.8401209421        0.8378754805      0.005084238504
        18        0.8518668047        0.8386527762      0.004860835489
        19        0.8393457468        0.8386892484       0.00460513887
        20        0.8762857344        0.8405690727      0.004743062756
        21        0.8512922204        0.8410796988      0.004544605858
        22        0.8479542069        0.8413921764      0.004348762252
        23        0.8363735479        0.8411739752      0.004165156211
        24        0.8066059252        0.8397336397      0.004233327364
        25        0.8463659575        0.8399989325      0.004072298422
        26        0.8492488868        0.8403546999      0.003931181268
        27        0.8338797106        0.8401148855      0.003792889625
        28        0.7967191519        0.8385650379      0.003961442909
        29        0.8276526573        0.8381887489      0.003842671315
        30        0.8441612139        0.8383878311      0.003719735748
        31        0.8589517801        0.8390511843      0.003658415166
        32        0.8374494956        0.8390011315      0.003544432075
        33        0.8715576927        0.8399876939       0.00357168763
        34        0.8483365692        0.8402332491      0.003475068757
        35        0.8430765129        0.8403144852      0.003376730466
        36         0.841751043        0.8403543896      0.003283168173
        37        0.8192334859        0.8397835544      0.003243679078
        38        0.8487824033        0.8400203662      0.003166951784
        39        0.8112173817        0.8392818281      0.003170692815
        40        0.8338839729        0.8391468817      0.003094295857
        41        0.8469456908        0.8393370966       0.00302466609
        42        0.8340850025        0.8392120467      0.002955234091
        43        0.8404810938        0.8392415594      0.002886655079
        44        0.8445164204        0.8393614427      0.002823537567
        45        0.8450546562        0.8394879585      0.002763625269
        46        0.8304934369        0.8392924254      0.002710454848
        47        0.8380454134        0.8392658933      0.002652915452
        48        0.8444847032        0.8393746185      0.002599873384
        49        0.8399833877        0.8393870423      0.002546844428
        50        0.8533099988        0.8396655015      0.002511084057
