#      BLOCK:      ACTUAL_PE:           PE_AVE:             ERROR:
         1        -6.039957081        -6.039957081                   0
         2        -5.989922082        -6.014939582       0.01769004348
         3        -5.951442141        -5.993773768       0.02092234459
         4        -5.969215902        -5.987634302       0.01656807383
         5        -5.952870687        -5.980681579        0.0146407981
         6        -5.956631899        -5.976673299       0.01273753583
         7        -5.947908711        -5.972564072       0.01156173735
         8        -5.950218695          -5.9697709        0.0104484719
         9        -5.966289115        -5.969384035      0.009294689846
        10        -5.964146067        -5.968860238      0.008379966993
        11        -5.969386298        -5.968908062      0.007618288273
        12        -5.968625202         -5.96888449      0.006983467383
        13        -5.938498138        -5.966547078      0.006826252226
        14         -5.95539918          -5.9657508      0.006384936593
        15        -5.984153525        -5.966977648      0.006075998802
        16        -5.966899007        -5.966972733      0.005696250865
        17        -5.970876084        -5.967202342      0.005365802915
        18        -5.980972857        -5.967967371       0.00512194934
        19        -5.968257924        -5.967982663      0.004852395887
        20        -6.008474902        -5.970007275      0.005014392941
        21        -5.983988182        -5.970673032       0.00481960577
        22        -5.977949978        -5.971003803      0.004611869219
        23        -5.966988427        -5.970829221      0.004414656307
        24        -5.934035288         -5.96929614      0.004489023485
        25        -5.975678813        -5.969551447      0.004316716551
        26         -5.98004215        -5.969954936      0.004169503624
        27        -5.962128027         -5.96966505      0.004025142122
        28        -5.925471483        -5.968086709      0.004179396819
        29        -5.955943288         -5.96766797      0.004056202401
        30        -5.977163478        -5.967984487      0.003933325624
        31         -5.98919611        -5.968668733      0.003865502107
        32        -5.967662827        -5.968637298      0.003744832978
        33        -6.002490946        -5.969663166      0.003769249301
        34        -5.980157711         -5.96997183      0.003671005452
        35        -5.974124616        -5.970090481      0.003568036534
        36        -5.971792618        -5.970137762      0.003469237669
        37        -5.949435122        -5.969578231      0.003420298418
        38        -5.977308947        -5.969781671      0.003336335397
        39        -5.939522612        -5.969005798      0.003339785748
        40         -5.96319706        -5.968860579      0.003259446724
        41        -5.977819231        -5.969079083       0.00318726353
        42        -5.964398547        -5.968967642      0.003113323943
        43        -5.970336367        -5.968999473      0.003041083777
        44        -5.975265875        -5.969141891      0.002975301191
        45        -5.974520698         -5.96926142      0.002911583363
        46        -5.957538037        -5.969006564      0.002859420328
        47        -5.965309504        -5.968927903      0.002799663343
        48        -5.974775708        -5.969049732      0.002743986486
        49        -5.967454178         -5.96901717       0.00268817996
        50          -5.9827763        -5.969292352      0.002648463803
