#      BLOCK:      ACTUAL_P:            P_AVE:             ERROR:
         1        -2.096129609        -2.096129609                   0
         2        -1.801605876        -1.948867742        0.1041298646
         3        -1.539893626        -1.812543037        0.1311820901
         4         -1.65586543        -1.773373635          0.10407016
         5        -1.596597368        -1.738018382       0.08905940713
         6        -1.512561696        -1.700442267       0.08175987556
         7        -1.513863322        -1.673788132        0.0742976616
         8        -1.482023437        -1.649817545        0.0687686304
         9        -1.566910079        -1.640605605       0.06174158403
        10        -1.686525204        -1.645197565       0.05573792494
        11         -1.61926774        -1.642840308       0.05072066267
        12        -1.565346855         -1.63638252       0.04690324402
        13         -1.34412266        -1.613900992       0.04838412847
        14        -1.372290441        -1.596643096       0.04790717031
        15        -1.666066179        -1.601271301       0.04493636319
        16        -1.536694213        -1.597235233       0.04230870684
        17        -1.580328748        -1.596240734        0.0398316459
        18        -1.624979006        -1.597837305       0.03765076073
        19        -1.624012047        -1.599214923       0.03569433594
        20         -1.84100247          -1.6113043       0.03589857467
        21        -1.633201991        -1.612347047       0.03420425974
        22        -1.577123469        -1.610745976       0.03268697157
        23        -1.556982673        -1.608408441       0.03134926923
        24        -1.418334271        -1.600488684       0.03102730969
        25        -1.645051616        -1.602271201       0.02983737613
        26        -1.673873155        -1.605025122       0.02881659479
        27        -1.561913973        -1.603428413       0.02779351462
        28        -1.331092475         -1.59370213       0.02845188315
        29         -1.46179379        -1.589153566       0.02783199525
        30          -1.6825783        -1.592267724       0.02707792515
        31        -1.736543054        -1.596921767       0.02660139604
        32        -1.578938384        -1.596359786       0.02577603793
        33         -1.62375694        -1.597190003       0.02500831246
        34        -1.531840816        -1.595267968       0.02434652163
        35        -1.576127587          -1.5947211       0.02365704777
        36        -1.520174345        -1.592650357        0.0230903576
        37        -1.548056744        -1.591445124       0.02249772628
        38        -1.536036362        -1.589986999       0.02195288209
        39         -1.53250472        -1.588513094       0.02143940916
        40        -1.488042306        -1.586001324         0.021050045
        41        -1.546165176        -1.585029711       0.02055904057
        42        -1.470157824        -1.582294666       0.02025064898
        43        -1.556917782        -1.581704506       0.01978830124
        44        -1.669347612        -1.583696395       0.01943856029
        45        -1.616437342        -1.584423971       0.01902020384
        46        -1.537298574        -1.583399506       0.01863429057
        47        -1.524533951        -1.582147048       0.01827985832
        48        -1.553401655        -1.581548185       0.01790883485
        49        -1.467556257        -1.579221819       0.01769380128
        50        -1.568656196        -1.579010507       0.01734118703
