#      BLOCK:      ACTUAL_T:            T_AVE:             ERROR:
         1         0.604942359         0.604942359                   0
         2        0.5721062855        0.5885243222       0.01160930512
         3        0.5499788184         0.575675821       0.01303673345
         4         0.560080105         0.571776892       0.01034416363
         5         0.548639502         0.567149414      0.009252672249
         6        0.5522380395        0.5646641849      0.008037394377
         7         0.546002132        0.5619981773      0.007318007625
         8        0.5471196415        0.5601383604      0.006635378685
         9        0.5576333205        0.5598600226      0.005903949292
        10        0.5547183429        0.5593458546      0.005335896531
        11        0.5607847856        0.5594766665       0.00485241822
        12         0.559995308        0.5595198867       0.00444824251
        13        0.5423075017         0.558195857      0.004298606169
        14        0.5508535706         0.557671408      0.004023428233
        15        0.5701340408        0.5585022502      0.003840026495
        16        0.5583077308        0.5584900927      0.003600044084
        17        0.5600806281        0.5585836536      0.003389492336
        18        0.5679112031        0.5591018508      0.003240556992
        19        0.5595638312        0.5591261656       0.00307009258
        20        0.5841904896        0.5603793818      0.003162041837
        21        0.5675281469        0.5607197992      0.003029737239
        22        0.5653028046        0.5609281176      0.002899174835
        23        0.5575823653        0.5607826501      0.002776770808
        24        0.5377372834        0.5598224265      0.002822218243
        25        0.5642439717        0.5599992883      0.002714865614
        26        0.5661659246        0.5602364666      0.002620787512
        27        0.5559198071        0.5600765903      0.002528593084
        28        0.5311461013        0.5590433586      0.002640961939
        29        0.5517684382        0.5587924993      0.002561780876
        30        0.5627741426        0.5589252207      0.002479823832
        31        0.5726345201        0.5593674562      0.002438943444
        32        0.5582996637        0.5593340877      0.002362954717
        33        0.5810384618         0.559991796      0.002381125087
        34        0.5655577128        0.5601554994      0.002316712504
        35        0.5620510086        0.5602096568      0.002251153644
        36         0.561167362        0.5602362597      0.002188778782
        37        0.5461556573        0.5598557029      0.002162452719
        38        0.5658549355        0.5600135774      0.002111301189
        39        0.5408115878        0.5595212187       0.00211379521
        40        0.5559226486        0.5594312545      0.002062863904
        41        0.5646304605        0.5595580644       0.00201644406
        42        0.5560566684        0.5594746978       0.00197015606
        43        0.5603207292         0.559494373      0.001924436719
        44        0.5630109469        0.5595742951      0.001882358378
        45        0.5633697708         0.559658639      0.001842416846
        46        0.5536622912        0.5595282836      0.001806969898
        47        0.5586969423        0.5595105955      0.001768610301
        48        0.5629898021         0.559583079      0.001733248922
        49        0.5599889251        0.5595913616      0.001697896285
        50        0.5688733325         0.559777001      0.001674056038
