#      BLOCK:      ACTUAL_TE:           TE_AVE:             ERROR:
         1        -5.132543543        -5.132543543                   0
         2        -5.131762654        -5.132153098     0.0002760858032
         3        -5.126473913        -5.130260037      0.001556598403
         4        -5.129095744        -5.129968964      0.001194353112
         5        -5.129911434        -5.129957458      0.000955537909
         6        -5.128274839        -5.129677021      0.000836421852
         7        -5.128905513        -5.129566806     0.0007241581623
         8        -5.129539232        -5.129563359     0.0006336465939
         9        -5.129839134        -5.129594001     0.0005639818079
        10        -5.132068553        -5.129841456     0.0005592421657
        11        -5.128209119        -5.129693062     0.0005277229582
        12         -5.12863224         -5.12960466     0.0004910945682
        13        -5.125036885        -5.129253293     0.0005652073907
        14        -5.129118824        -5.129243688     0.0005249170385
        15        -5.128952463        -5.129224273     0.0004902814856
        16         -5.12943741        -5.129237594     0.0004598198259
        17        -5.130755142        -5.129326861     0.0004413515622
        18        -5.129106052        -5.129314594     0.0004170024761
        19        -5.128912177        -5.129293414     0.0003955924828
        20        -5.132189168        -5.129438202     0.0004014356721
        21        -5.132695962        -5.129593333     0.0004112032469
        22        -5.129995771        -5.129611626     0.0003929188584
        23        -5.130614879        -5.129655246     0.0003782488916
        24        -5.127429362        -5.129562501     0.0003736859469
        25        -5.129312855        -5.129552515     0.0003588719073
        26        -5.130793263        -5.129600236     0.0003482275496
        27        -5.128248316        -5.129550165      0.000338910938
        28        -5.128752331        -5.129521671     0.0003280026123
        29        -5.128290631        -5.129479221      0.000319427254
        30        -5.133002264        -5.129596656     0.0003296606101
        31        -5.130244329        -5.129617549     0.0003196877627
        32        -5.130213331        -5.129636167     0.0003102391971
        33        -5.130933253        -5.129675472     0.0003033176971
        34        -5.131821142         -5.12973858     0.0003008900551
        35        -5.131048103        -5.129775995     0.0002946102403
        36        -5.130041575        -5.129783373     0.0002865189724
        37        -5.130201637        -5.129794677      0.000278998132
        38        -5.128526544        -5.129761305      0.000273644663
        39         -5.12830523         -5.12972397     0.0002691630387
        40        -5.129313087        -5.129713698     0.0002626298952
        41         -5.13087354        -5.129741987     0.0002577433333
        42        -5.130313544        -5.129755595     0.0002519655875
        43        -5.129855273        -5.129757913     0.0002461165854
        44        -5.130749455        -5.129780448     0.0002415525051
        45        -5.129466042        -5.129773461     0.0002362856951
        46          -5.1270446        -5.129714138     0.0002384797818
        47        -5.127264091         -5.12966201     0.0002390351898
        48        -5.130291005        -5.129675114      0.000234414202
        49        -5.127470791        -5.129630128     0.0002339070372
        50        -5.129466301        -5.129626851     0.0002292518439
