#      BLOCK:      ACTUAL_KE:           KE_AVE:             ERROR:
         1        0.6111919165        0.6111919165                   0
         2        0.6167754035          0.61398366      0.001974060764
         3        0.6131182834        0.6136952011      0.001336949875
         4        0.6128297728        0.6134788441      0.001020068608
         5        0.6158638031        0.6139558359     0.0009208488094
         6        0.6142205807          0.61399996     0.0007684304248
         7        0.6128875198          0.61384104     0.0006748878316
         8         0.612793342        0.6137100777     0.0006030996476
         9        0.6167710649        0.6140501874     0.0006246701732
        10        0.6123163367        0.6138768023     0.0005857717423
        11        0.6143259846        0.6139176371      0.000533941185
        12        0.6157334089        0.6140689514     0.0005104365699
        13         0.612439999        0.6139436474      0.000486309143
        14        0.6133067668        0.6138981559     0.0004536955211
        15        0.6177764421        0.6141567083     0.0004916318867
        16        0.6129585285        0.6140818221     0.0004665734382
        17        0.6101013542        0.6138476769     0.0004944010214
        18        0.6093707764        0.6135989602     0.0005257860468
        19        0.6142112809        0.6136311876      0.000499099789
        20        0.6140926355          0.61365426     0.0004746777955
        21        0.6146485113        0.6137016053     0.0004544291135
        22        0.6133236523        0.6136844256     0.0004340978619
        23        0.6130393234        0.6136563777     0.0004161291712
        24        0.6165107025        0.6137753079     0.0004154381672
        25         0.613186908        0.6137517719     0.0003994867816
        26        0.6156003648        0.6138228716     0.0003903977197
        27         0.611365306        0.6137318507     0.0003864036201
        28        0.6133913298        0.6137196892     0.0003727948233
        29        0.6130740045        0.6136974242     0.0003606040992
        30        0.6152777406        0.6137501015     0.0003524105152
        31        0.6132948853        0.6137354171     0.0003413482348
        32        0.6124721435        0.6136959398     0.0003329560733
        33        0.6162104899        0.6137721383      0.000331471021
        34        0.6130025343        0.6137495028     0.0003224938079
        35        0.6147591007        0.6137783485     0.0003145671124
        36        0.6110119769        0.6137015048     0.0003150752005
        37        0.6147764065        0.6137305562     0.0003078960782
        38        0.6127635621         0.613705109     0.0003008433016
        39        0.6125003968         0.613674219     0.0002947109722
        40        0.6151403561        0.6137108724     0.0002896135363
        41        0.6143521565        0.6137265135     0.0002829718378
        42        0.6119739216        0.6136847851     0.0002792941998
        43        0.6172804478        0.6137684052     0.0002850420839
        44        0.6124920911         0.613739398     0.0002800359123
        45        0.6145447139        0.6137572939      0.000274384122
        46        0.6132571517        0.6137464213     0.0002686345816
        47        0.6146396988        0.6137654272      0.000263590429
        48        0.6135180344        0.6137602732     0.0002581493453
        49        0.6135300945        0.6137555756      0.000252923728
        50        0.6137857174        0.6137561785     0.0002478659718
