#      BLOCK:      ACTUAL_PE:           PE_AVE:             ERROR:
         1        -8.057616081        -8.057616081                   0
         2        -8.062675887        -8.060145984      0.001788911895
         3        -8.059995801        -8.060095923      0.001193308177
         4        -8.058635524        -8.059730823     0.0009491915567
         5        -8.061760967        -8.060136852     0.0008417272648
         6        -8.059797782         -8.06008034     0.0007033338671
         7        -8.058831385        -8.059901918     0.0006250791635
         8         -8.05840846        -8.059715236     0.0005741446096
         9        -8.061519673        -8.059915729     0.0005442324744
        10        -8.058833463        -8.059807502     0.0005004545614
        11        -8.059987264        -8.059823844     0.0004552254298
        12        -8.060804895        -8.059905598     0.0004245676684
        13        -8.057002378        -8.059682274     0.0004467995257
        14        -8.058205853        -8.059576815     0.0004271497599
        15        -8.063384976        -8.059830693     0.0004680780516
        16        -8.058278611        -8.059733687     0.0004487623443
        17        -8.054271847        -8.059412403     0.0005249225607
        18        -8.054684446        -8.059149738     0.0005576179483
        19        -8.060247685        -8.059207525     0.0005312554494
        20        -8.060358228         -8.05926506     0.0005077986548
        21        -8.060801573        -8.059338227     0.0004888605777
        22        -8.057975699        -8.059276294     0.0004705464024
        23         -8.05905046        -8.059266475      0.000450190296
        24        -8.062442228        -8.059398799      0.000450459448
        25        -8.059802199        -8.059414935     0.0004327299798
        26        -8.060834228        -8.059469523     0.0004195154985
        27        -8.055622177        -8.059327028     0.0004274935408
        28        -8.057979486        -8.059278902     0.0004149260731
        29        -8.059788391        -8.059296471      0.000400990045
        30        -8.061734337        -8.059377733      0.000395772119
        31        -8.058805771        -8.059359282     0.0003834351007
        32        -8.056927828        -8.059283299     0.0003789065042
        33        -8.062143874        -8.059369983     0.0003772097337
        34        -8.059033425        -8.059360085       0.00036624519
        35        -8.060376973        -8.059389139     0.0003569315939
        36        -8.056159101        -8.059299415     0.0003581163555
        37        -8.060946053        -8.059343919     0.0003511919226
        38        -8.058968537        -8.059334041     0.0003420889341
        39        -8.057519238        -8.059287507     0.0003364674429
        40        -8.059854619        -8.059301685     0.0003283543272
        41        -8.059749855        -8.059312616     0.0003205275809
        42        -8.058212436        -8.059286421     0.0003139645175
        43        -8.063872262        -8.059393069     0.0003242705403
        44        -8.057817071        -8.059357251     0.0003188728109
        45        -8.059449329        -8.059359297     0.0003117933132
        46        -8.058725997        -8.059345529     0.0003053189992
        47        -8.061437036         -8.05939003     0.0003020483818
        48        -8.060473801        -8.059412608     0.0002965983981
        49        -8.059683653         -8.05941814     0.0002905969461
        50        -8.061024721        -8.059450271     0.0002865559146
