#      BLOCK:      ACTUAL_P:            P_AVE:             ERROR:
         1         4.496877099         4.496877099                   0
         2         4.477861731         4.487369415       0.00672294786
         3           4.4927696         4.489169476      0.004716795557
         4         4.496516375         4.491006201      0.003878757321
         5         4.475769927         4.487958946      0.004130042915
         6         4.492589577         4.488730718       0.00351307206
         7         4.500888825         4.490467591        0.0034136664
         8         4.493717303         4.490873805      0.003011030113
         9         4.478192925         4.489464818      0.002988002474
        10         4.502647633           4.4907831      0.002965786273
        11         4.500633301         4.491678573      0.002828127184
        12         4.473331619          4.49014966      0.002977175347
        13         4.498392525         4.490783726      0.002814872609
        14         4.490270801         4.490747089        0.0026140487
        15         4.464100801          4.48897067      0.002982919378
        16          4.49104755         4.489100475      0.002799309796
        17         4.500600761         4.489776962      0.002715155109
        18         4.500187359         4.490355317      0.002625188347
        19         4.474163483         4.489503116      0.002621697062
        20         4.474907335         4.488773327      0.002590195286
        21         4.475098184         4.488122129       0.00254739605
        22         4.479050851         4.487709798       0.00246475011
        23         4.488919195         4.487762381      0.002358147887
        24         4.469769254         4.487012667      0.002376081124
        25         4.492573574         4.487235104      0.002291425884
        26         4.481611281         4.487018803      0.002213479518
        27          4.49949631         4.487480933      0.002179206594
        28          4.48599837         4.487427984      0.002102020941
        29         4.490901659         4.487547766      0.002032947431
        30         4.471413629         4.487009961      0.002035076154
        31         4.476918363         4.486684426      0.001995295363
        32         4.485391774         4.486644031      0.001933351248
        33         4.477367357         4.486362919      0.001895091593
        34         4.487641924         4.486400537      0.001839726925
        35         4.473489816         4.486031659      0.001823769641
        36         4.501269983         4.486454946      0.001821568432
        37         4.489895054         4.486547922      0.001774708089
        38         4.495881049         4.486793531      0.001744917834
        39         4.501082973         4.487159926      0.001738218459
        40         4.485645922         4.487122076      0.001695175044
        41         4.492721559         4.487258649      0.001659321722
        42          4.49215308         4.487375183      0.001623900996
        43          4.47018696         4.486975457       0.00163459233
        44         4.506304775          4.48741476      0.001655422404
        45         4.490402955         4.487481164      0.001619966538
        46         4.499964549         4.487752542      0.001607319865
        47         4.484224733         4.487677482      0.001574873191
        48          4.48997453         4.487725337      0.001542790241
        49         4.487068823         4.487711939      0.001511362903
        50         4.485482844         4.487667357      0.001481793034
