#      BLOCK:      ACTUAL_TE:           TE_AVE:             ERROR:
         1        -7.446424164        -7.446424164                   0
         2        -7.445900484        -7.446162324     0.0001851488653
         3        -7.446877517        -7.446400722     0.0002304877934
         4        -7.445805751        -7.446251979     0.0002155826586
         5        -7.445897163        -7.446181016     0.0001837747938
         6        -7.445577201         -7.44608038     0.0001785867891
         7        -7.445943865        -7.446060878     0.0001541355468
         8        -7.445615118        -7.446005158     0.0001445896735
         9        -7.444748608        -7.445865541      0.000183971167
        10        -7.446517127          -7.4459307     0.0001767366268
        11        -7.445661279        -7.445906207      0.000162357942
        12        -7.445071486        -7.445836647     0.0001630496597
        13        -7.444562379        -7.445738626     0.0001775427684
        14        -7.444899086        -7.445678659     0.0001746951493
        15        -7.445608534        -7.445673984     0.0001631113502
        16        -7.445320083        -7.445651865     0.0001544093325
        17        -7.444170493        -7.445564726     0.0001681261625
        18        -7.445313669        -7.445550778     0.0001593633061
        19        -7.446036404        -7.445576337     0.0001530116825
        20        -7.446265592          -7.4456108      0.000149191638
        21        -7.446153061        -7.445636622     0.0001443045912
        22        -7.444652047        -7.445591869     0.0001445184936
        23        -7.446011136        -7.445610098     0.0001393800106
        24        -7.445931526        -7.445623491      0.000134214415
        25        -7.446615291        -7.445663163     0.0001345814445
        26        -7.445233863        -7.445646651     0.0001304141843
        27        -7.444256871        -7.445595178     0.0001353614508
        28        -7.444588156        -7.445559213     0.0001352206197
        29        -7.446714386        -7.445599046     0.0001362987493
        30        -7.446456596        -7.445627631     0.0001347195832
        31        -7.445510886        -7.445623865      0.000130426416
        32        -7.444455684         -7.44558736     0.0001313601518
        33        -7.445933384        -7.445597845     0.0001277973532
        34        -7.446030891        -7.445610582     0.0001246716753
        35        -7.445617872         -7.44561079     0.0001211098001
        36        -7.445147124        -7.445597911     0.0001184285104
        37        -7.446169646        -7.445613363      0.000116231463
        38        -7.446204974        -7.445628932     0.0001142106644
        39        -7.445018841        -7.445613288     0.0001123484064
        40        -7.444714263        -7.445590813     0.0001117652454
        41        -7.445397699        -7.445586103     0.0001091384662
        42        -7.446238514        -7.445601636     0.0001076397011
        43        -7.446591814        -7.445624664      0.000107571385
        44         -7.44532498        -7.445617853     0.0001053419827
        45        -7.444904615        -7.445602003     0.0001041865996
        46        -7.445468846        -7.445599108     0.0001019618791
        47        -7.446797337        -7.445624602     0.0001029303932
        48        -7.446955767        -7.445652335     0.0001044552219
        49        -7.446153559        -7.445662564     0.0001028231172
        50        -7.447239003        -7.445694093     0.0001054898179
