#      BLOCK:      ACTUAL_T:            T_AVE:             ERROR:
         1        0.9550490546        0.9550490546                   0
         2        0.9553422899        0.9551956723     0.0001036743436
         3        0.9559473556        0.9554462334     0.0002159420374
         4        0.9569064431        0.9558112858     0.0003552145444
         5         0.958278483        0.9563047252     0.0005249185752
         6        0.9601552213        0.9569464746     0.0007311284015
         7        0.9626699298         0.957764111     0.0009827282766
         8        0.9660085303        0.9587946635      0.001291777669
         9        0.9704245446        0.9600868725      0.001674138915
        10        0.9762963025        0.9617078155      0.002152888967
        11        0.9842895019        0.9637606961      0.002767981252
        12        0.9955476879         0.966409612      0.003587478151
        13         1.010228317        0.9697802817      0.004631804425
        14         1.013877696         0.972930097      0.005264117892
        15         1.021114988         0.976142423      0.005811231213
        16         1.046015537        0.9805094926      0.006896402226
        17         1.051302298        0.9846737753      0.007645310455
        18         1.054685973        0.9885633418      0.008150146519
        19         1.073775717        0.9930482037      0.008869732368
        20         1.075286141        0.9971601005       0.00933080534
        21         1.093789604         1.001761505      0.009956617999
        22         1.096657083         1.006074941       0.01039648357
        23         1.090094395         1.009727961       0.01056677296
        24         1.101894433          1.01356823        0.0108018054
        25         1.087125327         1.016510514       0.01076299769
        26         1.099035427         1.019684549       0.01080692228
        27         1.110107423         1.023033545       0.01091325185
        28           1.1189169          1.02645795       0.01104769885
        29         1.127478222         1.029941408       0.01120247599
        30         1.122772279          1.03303577       0.01124830887
        31          1.11040917         1.035531686       0.01115893751
        32         1.134607528         1.038627806       0.01123153017
        33         1.128961746         1.041365198       0.01121980677
        34         1.131027946         1.044002338       0.01119544445
        35          1.13857224         1.046704335       0.01119688877
        36         1.140452556         1.049308452       0.01118459165
        37         1.125172382         1.051358829       0.01106864904
        38         1.139534189         1.053679233       0.01101790644
        39         1.149094848         1.056125787       0.01100367564
        40         1.147264454         1.058404254       0.01096194027
        41         1.145638373         1.060531915       0.01089910469
        42         1.147125598          1.06259367       0.01083285537
        43         1.153468341         1.064707034       0.01078510499
        44         1.169633548         1.067091728       0.01080041138
        45          1.18279905         1.069663002       0.01086216477
        46         1.184079357         1.072150314       0.01090709663
        47         1.163600593         1.074096064       0.01084719664
        48         1.197651472         1.076670135       0.01092236131
        49         1.201170718         1.079210963        0.0109910152
        50         1.215773743         1.081942219       0.01110536813
        51         1.195876678         1.084176228       0.01111004571
        52          1.19313507          1.08627159       0.01109222459
        53         1.205106619         1.088513761       0.01110724077
        54         1.207077162         1.090709379       0.01111644209
        55         1.180695893         1.092345498       0.01103407007
        56         1.181319102         1.093934312       0.01095082373
        57         1.179812396         1.095440945       0.01086185213
        58         1.158884903         1.096534806       0.01072951703
        59         1.167960479         1.097745411       0.01061573699
        60         1.173120473         1.099001662       0.01051287674
        61         1.168430764         1.100139844       0.01040196495
