#      BLOCK:      ACTUAL_T:            T_AVE:             ERROR:
         1         1.878881652         1.878881652                   0
         2         1.265342742         1.572112197         0.216918762
         3         1.051621641         1.398615345         0.202435708
         4         1.092857971         1.322176002        0.1656309191
         5         1.099267778         1.277594357        0.1383745761
         6         1.163730951         1.258617122        0.1166061921
         7          1.08710731         1.234115721        0.1024899727
         8         1.067149098         1.213244893       0.09177917211
         9         1.082591609         1.198727861       0.08272162409
        10         1.046043178         1.183459393       0.07584547354
        11         1.002661814         1.167023249       0.07070890946
        12         1.019752883         1.154750719        0.0658729267
        13         1.145250842         1.154019959       0.06080983169
        14         1.146582688         1.153488726       0.05646859266
        15         1.144280249         1.152874827       0.05270735671
        16         1.126357859         1.151217517       0.04943919598
        17          1.14159569         1.150651527       0.04653424765
        18         1.174264871         1.151963379       0.04396749907
        19         1.048179001         1.146501044       0.04199135803
        20         1.025298779          1.14044093       0.04032671129
        21         1.066099509         1.136900863       0.03856146052
        22         1.023860647         1.131762671        0.0371494135
        23         1.129419142         1.131660778       0.03553436134
        24         1.105059037         1.130552372       0.03407104555
        25         1.069804703         1.128122466        0.0327947383
        26         1.055379935         1.125324676       0.03165251995
        27          1.03843164         1.122106415       0.03064337549
        28         1.071637271         1.120303946       0.02960193315
        29         1.106224294         1.119818441       0.02858515797
        30         1.149731659         1.120815548       0.02764970445
        31          1.05101996         1.118564077       0.02684928882
        32         1.053216644          1.11652197       0.02608779241
        33          1.05976931         1.114802193       0.02535387606
        34         1.086067873         1.113957066       0.02462225521
        35         1.095194258         1.113420985       0.02392459731
        36         1.091447959         1.112810623        0.0232678096
        37         1.123513661         1.113099895       0.02264074796
        38         1.107065182         1.112941087       0.02204549576
        39         1.115791811         1.113014182       0.02148034781
        40         1.104328678         1.112797044       0.02094443658
        41         1.114423359         1.112836711       0.02043363422
        42         1.103485112         1.112614054       0.01994833219
        43          1.09823364         1.112279625       0.01948722058
        44         1.059463172         1.111079251       0.01908126371
        45         1.114318356         1.111151231       0.01865737139
        46          1.14066233         1.111792777       0.01826280301
        47         1.155059379         1.112713343         0.017897419
        48         1.051787187         1.111444048         0.017569508
        49         1.056806876         1.110329004       0.01724629332
        50           1.1044968          1.11021236        0.0169017619
        51         1.082391382          1.10966685       0.01657915571
        52         1.023619235         1.108012089       0.01634269785
        53         1.075817391         1.107404641       0.01604563029
        54          1.13832397         1.107977222        0.0157587018
        55         1.079206523         1.107454118       0.01548085962
        56         1.077315212         1.106915923       0.01521376804
        57         1.083095033         1.106498013       0.01495259856
        58         1.132016704          1.10693799       0.01470126684
        59         1.148321165           1.1076394       0.01446881557
        60         1.142319132         1.108217396       0.01423920875
        61         1.189004902         1.109541781       0.01406723465
        62         1.132040577         1.109904665       0.01384502352
        63         1.158899119         1.110682354        0.0136470856
        64         1.157057087          1.11140696       0.01345307294
        65         1.103379347         1.111283458       0.01324666946
        66         1.040033664         1.110203916       0.01308987729
        67         1.098988823         1.110036526        0.0128955762
        68         1.093354862         1.109791208       0.01270826857
        69         1.017911056         1.108459611       0.01259366113
        70         1.032795204         1.107378691       0.01246005328
        71          1.03712521         1.106389205       0.01232378578
        72         1.057259977         1.105706855       0.01217149781
        73         1.081544312         1.105375861       0.01200926467
        74         1.095209338         1.105238476       0.01184776313
        75         1.055619518          1.10457689       0.01170825006
        76         1.006897919          1.10329164       0.01162452294
        77         1.093817801         1.103168603       0.01147420622
        78         1.129490617         1.103506065       0.01133206238
        79         1.063442756         1.102998934       0.01119996031
        80         1.052716811         1.102370408        0.0110775828
        81         1.087243817          1.10218366       0.01094239652
        82         1.101826393         1.102179303       0.01080895353
        83          1.07762443         1.101883461       0.01068277301
        84         1.062094931         1.101409788       0.01056609323
        85         1.022581235         1.100482393       0.01048240634
        86        0.9729141105         1.098999041       0.01046494526
        87        0.9598865191         1.097400047       0.01046610507
        88           1.0433898         1.096786294       0.01036515226
        89         1.064648352         1.096425194       0.01025497795
        90         1.032050802         1.095709922       0.01016594774
        91         1.151603261         1.096324135       0.01007277188
        92         1.091504356         1.096271746      0.009963421463
        93          1.09051216         1.096209815      0.009856480373
        94         1.100141435         1.096251641      0.009751712942
        95          1.07110956         1.095986987      0.009652653903
        96         1.044137443         1.095446888       0.00956720371
        97          1.11201526         1.095617696       0.00947009738
        98          1.15858049         1.096260173      0.009395232177
        99         1.103936557         1.096337713      0.009300650804
       100         1.018972247         1.095564058      0.009239765667
