#      BLOCK:      ACTUAL_T:            T_AVE:             ERROR:
         1          1.14142771          1.14142771                   0
         2        0.5094279753        0.8254278428        0.2234456492
         3        0.6772995554         0.776051747         0.154322831
         4        0.7998093452        0.7819911466        0.1158563613
         5         0.763782283        0.7783493739       0.09274230823
         6        0.7695130365         0.776876651       0.07729694919
         7        0.8365480501        0.7854011366       0.06672292215
         8        0.8294406889        0.7909060806       0.05860920837
         9        0.8172315378        0.7938311314       0.05217001432
        10        0.7968230787        0.7941303261       0.04695387082
        11        0.7751639911        0.7924061139       0.04271698313
        12        0.8274128561        0.7953233424       0.03925671985
        13        0.7830025736        0.7943755909       0.03624841087
        14        0.8724320584        0.7999510529       0.03408532985
        15        0.7176433801        0.7944638747       0.03225162318
        16        0.8627056374        0.7987289849       0.03051661298
        17        0.7799002981        0.7976214151       0.02874161014
        18        0.8356067693        0.7997317125       0.02722221605
        19        0.7687818105        0.7981027703       0.02583815877
        20        0.7997475672        0.7981850101       0.02454638171
        21        0.7915498005        0.7978690478       0.02337953984
        22         0.867925743         0.801053443       0.02253265417
        23        0.7762912345        0.7999768253        0.0215786788
        24        0.8179401049        0.8007252952       0.02069254369
        25        0.7523373821        0.7987897787       0.01995515774
        26        0.8368400421        0.8002532504        0.0192412409
        27        0.7619387129        0.7988341934       0.01858085695
        28        0.8377042208        0.8002224087       0.01796903834
        29        0.7934268733        0.7999880799       0.01735094417
        30        0.7896810138         0.799644511       0.01677598055
        31        0.8216689204        0.8003549759       0.01624985706
        32        0.8514343729         0.801951207       0.01582025404
        33          0.80143004        0.8019354141       0.01534086029
        34         0.741739675        0.8001649512       0.01499147348
        35        0.7892970564        0.7998544399       0.01456636105
        36        0.8016696617        0.7999048627       0.01416182718
        37        0.8446538981        0.8011142961       0.01383062206
        38        0.8404311612        0.8021489504       0.01350530357
        39        0.7430185439        0.8006327862        0.0132438459
        40         0.795624453        0.8005075778        0.0129133416
        41        0.7978434965        0.8004426002       0.01259854553
        42        0.8135618899        0.8007549643       0.01230245187
        43        0.7980823149        0.8006928096       0.01201650535
        44        0.8779309848        0.8024482227       0.01187092896
        45        0.7803625544        0.8019574301        0.0116172718
        46        0.7793131578        0.8014651633       0.01137514721
        47        0.7846433079        0.8011072515       0.01113875211
        48        0.7900730409        0.8008773721       0.01090906662
        49        0.8596948193        0.8020777282       0.01075226913
        50        0.7840031404        0.8017162364       0.01054329868
        51        0.8181712784        0.8020388843       0.01034150302
        52        0.7612717592        0.8012549011        0.0101723012
        53        0.8416223185        0.8020165505       0.01000884456
        54        0.7840991987        0.8016847477      0.009828993839
        55         0.792286998        0.8015138795      0.009651769941
        56        0.7983495106        0.8014573729      0.009479582314
        57        0.8113096881        0.8016302206      0.009314849543
        58        0.8244956808        0.8020244526      0.009162587427
        59        0.8199889264        0.8023289352      0.009012347056
        60        0.7822000029         0.801993453      0.008868383192
        61        0.7575161704        0.8012643173      0.008752922378
        62        0.8243213163        0.8016362043      0.008619642809
        63        0.8239241407        0.8019899811      0.008490080024
        64        0.7962436274        0.8019001943       0.00835789728
        65        0.8103436849        0.8020300942      0.008230323645
        66        0.8123242481        0.8021860662      0.008107099542
        67        0.7461265284        0.8013493567      0.008029159109
        68        0.8113067941        0.8014957896      0.007912418422
        69        0.7636295687        0.8009470038      0.007816753738
        70         0.832049168        0.8013913204      0.007717703327
        71        0.8332035656        0.8018393802      0.007621998486
        72        0.8315798779        0.8022524427      0.007527321716
        73        0.7798967783        0.8019462007      0.007430434692
        74        0.7683718674        0.8014924935      0.007343862178
        75         0.809376403        0.8015976123      0.007246696303
        76        0.8179859927        0.8018132489      0.007154552616
        77        0.8067627479        0.8018775281      0.007061925096
        78        0.7990923248        0.8018418203       0.00697147787
        79        0.8232839418        0.8021132396      0.006888512847
        80        0.7774471636        0.8018049136      0.006809303188
        81        0.8428383352        0.8023114991      0.006744055375
        82        0.7784182398        0.8020201179      0.006668102482
        83         0.822620358        0.8022683136      0.006592381366
        84        0.7917925015        0.8021436015      0.006515080155
        85        0.7993291675        0.8021104905      0.006438516291
        86        0.7693480483        0.8017295319      0.006374910273
        87        0.8338296372        0.8020984986       0.00631230393
        88        0.7496844412        0.8015028843      0.006268610609
        89        0.7771508889        0.8012292664      0.006204145469
        90        0.8329465029        0.8015816801      0.006145211437
        91        0.8765512722        0.8024055218      0.006132656098
        92        0.7826064189        0.8021903142       0.00606977166
        93        0.7873922199        0.8020311949      0.006006590595
        94        0.8369280722        0.8024024383      0.005954152177
        95        0.7823848321        0.8021917266      0.005895204152
        96        0.8245692266        0.8024248256      0.005838402374
        97        0.7941729843         0.802339755      0.005778832401
        98        0.7439864441        0.8017443131      0.005750459608
        99        0.8124258072         0.801852207      0.005693386255
       100        0.8302669092         0.802136354       0.00564353858
