#      BLOCK:      ACTUAL_TE:           TE_AVE:             ERROR:
         1               -0.44               -0.44                   0
         2                -0.6               -0.52       0.05656854249
         3                -0.6       -0.5466666667       0.04354648432
         4                -0.6               -0.56       0.03464101615
         5               -0.68              -0.584       0.03505424368
         6               -0.84       -0.6266666667       0.04868644956
         7               -0.84       -0.6571428571       0.05037468937
         8               -0.76               -0.67       0.04568916721
         9               -0.76               -0.68       0.04169258453
        10               -0.76              -0.688       0.03828315556
        11               -0.68       -0.6872727273       0.03480977608
        12               -0.76       -0.6933333333        0.0324322656
        13               -0.76       -0.6984615385       0.03034020423
        14               -0.76       -0.7028571429       0.02848967897
        15               -0.84              -0.712       0.02801904114
        16               -0.84               -0.72       0.02738612788
        17               -0.76       -0.7223529412       0.02587606089
        18                -0.6       -0.7155555556       0.02531556665
        19                -0.6       -0.7094736842       0.02470292954
        20               -0.68              -0.708       0.02351169922
        21                -0.6       -0.7028571429       0.02294766655
        22               -0.68       -0.7018181818       0.02192809779
        23               -0.68       -0.7008695652       0.02099521094
        24                -0.6       -0.6966666667       0.02053677821
        25               -0.68              -0.696       0.01972612481
        26               -0.76       -0.6984615385       0.01912039331
        27               -0.68       -0.6977777778       0.01842445245
        28               -0.52       -0.6914285714       0.01882867362
        29               -0.68       -0.6910344828       0.01818353273
        30               -0.68       -0.6906666667       0.01758113467
        31               -0.76       -0.6929032258       0.01715567182
        32               -0.68             -0.6925        0.0166242951
        33               -0.68       -0.6921212121       0.01612484338
        34               -0.76       -0.6941176471       0.01577368953
        35               -0.76              -0.696       0.01543491933
        36               -0.76       -0.6977777778       0.01510820597
        37               -0.84       -0.7016216216       0.01518098034
        38               -0.76       -0.7031578947       0.01485901082
        39               -0.68       -0.7025641026       0.01448987018
        40               -0.76              -0.704       0.01419859148
        41               -0.76       -0.7053658537       0.01391782444
        42               -0.84       -0.7085714286        0.0139507208
        43               -0.76       -0.7097674419       0.01367745723
        44               -0.76       -0.7109090909       0.01341416769
        45               -0.68       -0.7102222222       0.01313364876
        46               -0.68       -0.7095652174       0.01286455735
        47                -0.6       -0.7072340426       0.01280031592
        48                -0.6              -0.705       0.01272710362
        49               -0.68       -0.7044897959       0.01247758915
        50               -0.68              -0.704       0.01223764683
        51               -0.68       -0.7035294118        0.0120067376
        52               -0.76       -0.7046153846       0.01182484828
        53               -0.84       -0.7071698113        0.0118744391
        54               -0.84       -0.7096296296       0.01190659511
        55               -0.84              -0.712       0.01192372453
        56               -0.76       -0.7128571429       0.01174156853
        57               -0.92       -0.7164912281       0.01208488299
        58               -0.84       -0.7186206897       0.01206267885
        59               -0.84       -0.7206779661       0.01203238092
        60               -0.76       -0.7213333333       0.01184967573
        61               -0.76       -0.7219672131       0.01167236064
        62               -0.84       -0.7238709677        0.0116383119
        63               -0.84       -0.7257142857       0.01159863391
        64               -0.84             -0.7275       0.01155405097
        65               -0.84       -0.7292307692        0.0115051986
        66               -0.76       -0.7296969697        0.0113403189
        67               -0.76       -0.7301492537       0.01118007595
        68               -0.68       -0.7294117647       0.01103996035
        69               -0.68       -0.7286956522       0.01090316169
        70               -0.68              -0.728       0.01076957165
        71               -0.76       -0.7284507042       0.01062731429
        72               -0.76       -0.7288888889       0.01048874241
        73               -0.76       -0.7293150685       0.01035371568
        74               -0.76       -0.7297297297       0.01022210072
        75               -0.76       -0.7301333333       0.01009377072
        76               -0.68       -0.7294736842      0.009982489407
        77               -0.68       -0.7288311688      0.009873502544
        78               -0.76       -0.7292307692       0.00975500214
        79               -0.68       -0.7286075949      0.009651405552
        80               -0.68              -0.728      0.009549869109
        81               -0.68       -0.7274074074      0.009450337511
        82               -0.52       -0.7248780488      0.009667653837
        83               -0.52       -0.7224096386      0.009861267835
        84               -0.76       -0.7228571429      0.009754020377
        85               -0.76       -0.7232941176      0.009649050347
        86               -0.84       -0.7246511628      0.009631806977
        87               -0.76       -0.7250574713      0.009529662564
        88               -0.84       -0.7263636364      0.009510463217
        89               -0.68       -0.7258426966      0.009417860622
        90               -0.76       -0.7262222222      0.009320861744
        91               -0.76       -0.7265934066      0.009225822563
        92               -0.84        -0.727826087      0.009207524055
        93               -0.76        -0.728172043      0.009115015439
        94               -0.76       -0.7285106383      0.009024333894
        95               -0.76       -0.7288421053      0.008935426282
        96               -0.84               -0.73      0.008917056066
        97               -0.84       -0.7311340206      0.008896944593
        98               -0.92       -0.7330612245      0.009012472457
        99               -0.84       -0.7341414141      0.008985937274
       100               -0.84             -0.7352      0.008958214108
       101               -0.84       -0.7362376238      0.008929410333
       102               -0.84        -0.737254902       0.00889962488
       103               -0.92       -0.7390291262      0.008988335214
       104               -0.92       -0.7407692308      0.009068783333
       105               -0.92       -0.7424761905       0.00914164769
       106               -0.92       -0.7441509434      0.009207535498
       107               -0.92       -0.7457943925      0.009266992436
       108               -0.92       -0.7474074074      0.009320510712
       109               -0.92       -0.7489908257      0.009368535802
       110               -0.92       -0.7505454545      0.009411472131
       111               -0.84       -0.7513513514      0.009361124653
       112               -0.84       -0.7521428571      0.009310944922
       113               -0.84        -0.752920354      0.009260952154
       114               -0.76       -0.7529824561      0.009179923952
       115               -0.68       -0.7523478261      0.009122008895
       116               -0.68       -0.7517241379      0.009064667152
       117               -0.76       -0.7517948718      0.008987467337
       118               -0.84       -0.7525423729      0.008942333721
       119               -0.84       -0.7532773109      0.008897337752
       120               -0.76       -0.7533333333      0.008823369643
       121               -0.76       -0.7533884298      0.008750621252
       122               -0.76        -0.753442623      0.008679062658
       123               -0.84       -0.7541463415      0.008636983618
       124               -0.76       -0.7541935484      0.008567459532
       125               -0.76            -0.75424      0.008499045782
       126               -0.76       -0.7542857143       0.00843171598
       127               -0.76       -0.7543307087      0.008365444567
       128               -0.76           -0.754375      0.008300206782
       129                -0.6       -0.7531782946      0.008321686107
       130               -0.76       -0.7532307692      0.008257838582
       131                -0.6       -0.7520610687      0.008277229553
       132               -0.68       -0.7515151515      0.008232506322
       133               -0.76       -0.7515789474       0.00817085496
       134               -0.76        -0.751641791      0.008110120098
       135               -0.76       -0.7517037037      0.008050281452
       136               -0.68       -0.7511764706      0.008008334504
       137               -0.68       -0.7506569343      0.007966713999
       138                -0.6       -0.7495652174      0.007983435359
       139               -0.68       -0.7490647482      0.007941671898
       140               -0.68       -0.7485714286      0.007900252791
       141               -0.68       -0.7480851064      0.007859176838
       142               -0.76       -0.7481690141      0.007804278425
       143               -0.84       -0.7488111888      0.007776078828
       144               -0.84       -0.7494444444      0.007747820394
       145               -0.84       -0.7500689655      0.007719516198
       146               -0.76       -0.7501369863      0.007666942478
       147               -0.76       -0.7502040816      0.007615079985
       148               -0.84       -0.7508108108      0.007587758726
       149               -0.84        -0.751409396      0.007560407978
       150               -0.92       -0.7525333333      0.007593088475
       151               -0.92       -0.7536423841      0.007623367162
       152               -0.84       -0.7542105263      0.007594354722
       153               -0.84       -0.7547712418      0.007565389809
       154               -0.68       -0.7542857143      0.007531827751
       155               -0.68       -0.7538064516      0.007498467949
       156               -0.84       -0.7543589744      0.007470729364
       157               -0.76       -0.7543949045      0.007423231502
       158               -0.76       -0.7544303797      0.007376333791
