#      TEMP:         ACTUAL:             AVE:             ERROR:
        0.45             48.3917           47.540725        0.6270938773
        0.55             36.3874            40.45335        0.8322163862
        0.65             24.3321           27.484365        0.5920391023
        0.75              17.408           17.616345        0.4530448879
        0.85              11.707           11.813635        0.3058537282
        0.95              7.0792             8.32936        0.1932360307
        1.05              4.9152            6.167125        0.1480284489
        1.15              4.3932            4.749605        0.1365644243
        1.25              3.7294             3.87084        0.1190940463
        1.35              3.3655            3.217885        0.1007079002
        1.45              2.5705             2.68267       0.09519301474
        1.55              2.2615             2.26943       0.07555459553
        1.65              2.0147             2.00968       0.06907719653
        1.75              1.5982             1.76676       0.05512976029
        1.85              1.3765             1.57574       0.05292189263
        1.95              1.2639            1.402195       0.05612083859
