#      TEMP:         ACTUAL:             AVE:             ERROR:
        0.5              43.284            44.82223        0.5604327307
        0.6             37.0736            33.35462        0.6485911741
        0.7             22.5425           22.142755        0.4334529539
        0.8             15.5323           14.441355        0.3956464355
        0.9              9.2857           10.055375        0.2338866751
        1.0              7.5801            7.336385        0.0966551122
        1.1              5.2039            5.596165        0.1229207414
        1.2              4.5328            4.282875       0.08774993529
        1.3              2.7611            3.435915        0.0913707298
        1.4              2.1774            2.905385       0.07272016374
        1.5              2.8475            2.540265       0.04503761055
        1.6              2.2593             2.11767       0.05978820582
        1.7              1.5854             1.91245       0.04721434501
        1.8              1.5324             1.71513        0.0505753132
        1.9              1.5297             1.49277       0.05359077024
        2.0              1.3276             1.40786       0.04102773111
