#      TEMP:         ACTUAL:             AVE:             ERROR:
        0.45         4889.776889         4996.083556         46.34884224
        0.55         3053.303636         2991.952527         51.21731672
        0.65            1613.208         1631.288938         24.44461496
        0.75             941.668         950.9183867          10.8343232
        0.85         563.5077647         599.5254706         6.739563624
        0.95         436.3258947         423.5812632          4.21703324
        1.05         340.8293333         318.0518571         2.224180535
        1.15         268.1829565         246.3223304         2.297044958
        1.25           209.47184          199.068896         1.477377164
        1.35         171.5054815         162.7348741         1.051947312
        1.45         141.1412414            136.0392        0.7723265611
        1.55         120.4905806         116.6998516        0.6509378608
        1.65         106.0614545         101.4000848        0.4742021804
        1.75         92.99131429            88.80456        0.4267946039
        1.85         83.99286486         79.33311351         0.405111456
        1.95         74.53087179         71.08343077        0.3579448363
