#      TEMP:         ACTUAL:             AVE:             ERROR:
        0.5           4052.2596          3963.94502         42.81972005
        0.6            2211.931         2186.768683          25.5285123
        0.7         1133.884857         1227.011643         21.38866953
        0.8           726.30775           760.12545         9.324800512
        0.9         480.9702222         514.6580444          5.72934198
        1.0            348.6048           372.64585         2.318344256
        1.1         278.0687273            278.9966         1.722749181
        1.2         227.3326667         222.0958833         1.155159745
        1.3         181.3113846         177.5067308        0.7525430477
        1.4         145.9582857         146.5414714        0.5902394424
        1.5         126.2273333           126.43692         0.478523436
        1.6             107.316          108.633275        0.3378136337
        1.7         94.65023529         95.01377647        0.3271241074
        1.8         85.68555556         84.41512222        0.3861591144
        1.9         73.89789474         75.45284211        0.2556064383
        2.0             69.8693            68.02137        0.2633756903
