#      TEMP:         ACTUAL:             AVE:             ERROR:
        0.5           -0.975684          -0.9744094     0.0008821911482
        0.6           -0.933756          -0.9341962     0.0007540537103
        0.7           -0.887348          -0.8919016     0.0008539158928
        0.8           -0.843756          -0.8486598     0.0005379598108
        0.9           -0.802456           -0.804639     0.0003741881746
        1.0           -0.759136          -0.7621938     0.0003414787226
        1.1           -0.719116          -0.7207364     0.0002820272186
        1.2           -0.680812           -0.682897      0.000252778935
        1.3            -0.64454          -0.6465242     0.0002569631063
        1.4           -0.611904          -0.6130638     0.0003338617049
        1.5           -0.582404          -0.5827542     0.0002499199032
        1.6           -0.554664          -0.5547488     0.0002315082029
        1.7           -0.527708           -0.528471     0.0003320135991
        1.8           -0.504632           -0.504822     0.0002617781503
        1.9           -0.481956          -0.4827912     0.0002520848429
        2.0           -0.461444          -0.4625388     0.0002274572663
