#    N_BLOCK:      ACCEPTANCE:
         1        0.6149503575
         2        0.6149282407
         3        0.6149283082
         4        0.6149645655
         5        0.6149701499
         6        0.6149501223
         7        0.6149319834
         8        0.6149274263
         9        0.6149305131
        10        0.6149373737
        11         0.614946363
        12        0.6149480407
        13        0.6149564897
        14        0.6149460283
        15        0.6149774155
        16        0.6149628033
        17        0.6149527936
        18         0.614974694
        19        0.6149737395
        20        0.6149712577
