#      BLOCK:      ACTUAL_KE:           KE_AVE:             ERROR:
         1                 1.8                 1.8                   0
         2                 1.8                 1.8                   0
         3                 1.8                 1.8                   0
         4                 1.8                 1.8                   0
         5                 1.8                 1.8     1.332800375e-08
         6                 1.8                 1.8     1.216674717e-08
         7                 1.8                 1.8     1.781029417e-08
         8                 1.8                 1.8     1.666000469e-08
         9                 1.8                 1.8     1.570720305e-08
        10                 1.8                 1.8     1.490116119e-08
        11                 1.8                 1.8     1.797147659e-08
        12                 1.8                 1.8     1.720637885e-08
        13                 1.8                 1.8     1.653135408e-08
        14                 1.8                 1.8     1.593001139e-08
        15                 1.8                 1.8      1.53898531e-08
        16                 1.8                 1.8     1.490116119e-08
        17                 1.8                 1.8     1.445624978e-08
        18                 1.8                 1.8     1.216674717e-08
        19                 1.8                 1.8      1.18422421e-08
        20                 1.8                 1.8     1.053671213e-08
