#      BLOCK:      ACTUAL_PE:           PE_AVE:             ERROR:
         1       -0.4125630204       -0.4125630204                   0
         2       -0.4156715713       -0.4141172959      0.001099038742
         3       -0.4155688253        -0.414601139      0.000832410809
         4       -0.4112711033       -0.4137686301     0.0009537106236
         5       -0.4122931291       -0.4134735299     0.0008073340279
         6       -0.4167200767        -0.414014621     0.0008346338963
         7       -0.4179286045       -0.4145737615     0.0008830477651
         8       -0.4150420195       -0.4146322938     0.0007746042511
         9       -0.4139671462       -0.4145583885     0.0006920537971
        10       -0.4139445623       -0.4144970058     0.0006255647003
        11       -0.4166065585       -0.4146887834     0.0005973686593
        12       -0.4133657461       -0.4145785303     0.0005576695415
        13       -0.4126655967       -0.4144313815      0.000533832603
        14       -0.4161380786       -0.4145532885     0.0005094310136
        15       -0.4108634683       -0.4143073004     0.0005315513276
        16        -0.416281411       -0.4144306824     0.0005124488389
        17       -0.4128913888       -0.4143401357     0.0004902390584
        18       -0.4134092788       -0.4142884214     0.0004657231815
        19       -0.4159581915        -0.414376304     0.0004494267414
        20       -0.4141349423        -0.414364236     0.0004271174009
