#      BLOCK:      ACTUAL_T:            T_AVE:             ERROR:
         1                 1.2                 1.2                   0
         2                 1.2                 1.2                   0
         3                 1.2                 1.2                   0
         4                 1.2                 1.2                   0
         5                 1.2                 1.2                   0
         6                 1.2                 1.2     8.603189427e-09
         7                 1.2                 1.2     7.965005693e-09
         8                 1.2                 1.2     7.450580597e-09
         9                 1.2                 1.2     7.024474752e-09
        10                 1.2                 1.2     6.664001875e-09
        11                 1.2                 1.2     6.353876482e-09
        12                 1.2                 1.2     6.083373583e-09
        13                 1.2                 1.2     5.844716285e-09
        14                 1.2                 1.2     5.632109538e-09
        15                 1.2                 1.2                   0
        16                 1.2                 1.2                   0
        17                 1.2                 1.2                   0
        18                 1.2                 1.2     4.967053731e-09
        19                 1.2                 1.2     4.834575091e-09
        20                 1.2                 1.2     4.712160915e-09
