#      BLOCK:      ACTUAL_TE:           TE_AVE:             ERROR:
         1          1.38743698          1.38743698                   0
         2         1.384328429         1.385882704      0.001099038742
         3         1.384431175         1.385398861      0.000832410809
         4         1.388728897          1.38623137     0.0009537106236
         5         1.387706871          1.38652647     0.0008073340278
         6         1.383279923         1.385985379     0.0008346338963
         7         1.382071396         1.385426238     0.0008830477651
         8         1.384957981         1.385367706     0.0007746042511
         9         1.386032854         1.385441612     0.0006920537971
        10         1.386055438         1.385502994     0.0006255647003
        11         1.383393441         1.385311217     0.0005973686593
        12         1.386634254          1.38542147     0.0005576695415
        13         1.387334403         1.385568618      0.000533832603
        14         1.383861921         1.385446712     0.0005094310136
        15         1.389136532           1.3856927     0.0005315513276
        16         1.383718589         1.385569318     0.0005124488389
        17         1.387108611         1.385659864     0.0004902390584
        18         1.386590721         1.385711579     0.0004657231815
        19         1.384041808         1.385623696     0.0004494267414
        20         1.385865058         1.385635764     0.0004271174009
