#    N_BLOCK:      ACCEPTANCE:
         1        0.5097751323
         2        0.5104804527
         3        0.5106607744
         4        0.5108447293
         5        0.5104283951
         6        0.5102570806
         7        0.5102597466
         8        0.5101261023
         9         0.510247182
        10        0.5102777778
        11        0.5103840878
        12         0.510333014
        13        0.5102359618
        14         0.510181257
        15        0.5103798942
        16        0.5103986486
        17        0.5104703229
        18        0.5104929991
        19        0.5104804048
        20         0.510318107
