#      BLOCK:      ACTUAL_KE:           KE_AVE:             ERROR:
         1                1.65                1.65                   0
         2                1.65                1.65                   0
         3                1.65                1.65     1.720637885e-08
         4                1.65                1.65                   0
         5                1.65                1.65                   0
         6                1.65                1.65     1.216674717e-08
         7                1.65                1.65     1.379579454e-08
         8                1.65                1.65     1.053671213e-08
         9                1.65                1.65     9.934107463e-09
        10                1.65                1.65     6.664001875e-09
        11                1.65                1.65     6.353876482e-09
        12                1.65                1.65     1.053671213e-08
        13                1.65                1.65     1.168943257e-08
        14                1.65                1.65     1.126421908e-08
        15                1.65                1.65     1.216674717e-08
        16                1.65                1.65     1.178040229e-08
        17                1.65                1.65     1.142866893e-08
        18                1.65                1.65     1.110666979e-08
        19                1.65                1.65     1.279108338e-08
        20                1.65                1.65     1.246720592e-08
