#      BLOCK:      ACTUAL_PE:           PE_AVE:             ERROR:
         1         -5.46210305         -5.46210305                   0
         2        -5.478378138        -5.470240594      0.005754112437
         3        -5.475056253        -5.471845813       0.00405379957
         4        -5.469139671        -5.471169278      0.003096288336
         5        -5.462961938         -5.46952781       0.00287944693
         6        -5.463671414        -5.468551744       0.00255963056
         7        -5.462616788        -5.467703893       0.00233016271
         8        -5.461334909         -5.46690777      0.002170637559
         9        -5.463566842        -5.466536556      0.001960940554
        10        -5.466311096         -5.46651401      0.001764976106
        11        -5.460846499        -5.465998782      0.001678041662
        12         -5.46462248         -5.46588409      0.001542119389
        13        -5.466171333        -5.465906185      0.001423653106
        14        -5.462152532        -5.465638067      0.001346974488
        15        -5.493659379        -5.467506155       0.00219945279
        16        -5.469642701        -5.467639689      0.002066036605
        17        -5.480611101        -5.468402713      0.002080638946
        18        -5.472616174        -5.468636794      0.001978171656
        19         -5.47538488        -5.468991957      0.001905673723
        20        -5.464365612        -5.468760639       0.00182437506
