#      BLOCK:      ACTUAL_P:            P_AVE:             ERROR:
         1         1.233044065         1.233044065                   0
         2         1.150629598         1.191836831       0.02913791422
         3         1.206151163         1.196608275       0.01981209578
         4          1.20057873         1.197600889       0.01488391673
         5          1.26320685         1.210722081       0.01671862356
         6         1.246811202         1.216736935       0.01497513052
         7         1.228866067         1.218469668       0.01293568276
         8         1.262619674         1.223988419       0.01244037826
         9          1.22465175         1.224062122       0.01105833234
        10         1.216816252         1.223337535      0.009976209806
        11         1.253315902         1.226062841      0.009434190702
        12         1.195270841         1.223496841      0.008990200471
        13         1.204003649         1.221997365      0.008422767258
        14         1.230407793          1.22259811      0.007842535504
        15         1.078778378         1.213010128       0.01180587904
        16         1.207839775         1.212686981       0.01107243326
        17         1.145352229         1.208726113       0.01110699023
        18          1.17011067          1.20658081       0.01069511002
        19         1.162486495         1.204260057       0.01038094878
        20          1.24432298         1.206263203       0.01005331104
