#      BLOCK:      ACTUAL_T:            T_AVE:             ERROR:
         1                 1.1                 1.1                   0
         2                 1.1                 1.1                   0
         3                 1.1                 1.1                   0
         4                 1.1                 1.1                   0
         5                 1.1                 1.1                   0
         6                 1.1                 1.1                   0
         7                 1.1                 1.1     5.632109538e-09
         8                 1.1                 1.1                   0
         9                 1.1                 1.1                   0
        10                 1.1                 1.1     4.712160915e-09
        11                 1.1                 1.1     4.492869147e-09
        12                 1.1                 1.1     4.301594713e-09
        13                 1.1                 1.1     5.844716285e-09
        14                 1.1                 1.1     5.632109538e-09
        15                 1.1                 1.1     5.441134746e-09
        16                 1.1                 1.1     5.268356064e-09
        17                 1.1                 1.1     5.111056123e-09
        18                 1.1                 1.1     4.967053731e-09
        19                 1.1                 1.1     4.834575091e-09
        20                 1.1                 1.1     4.712160915e-09
