#      BLOCK:      ACTUAL_TE:           TE_AVE:             ERROR:
         1         -3.81210305         -3.81210305                   0
         2        -3.828378138        -3.820240594      0.005754112436
         3        -3.825056253        -3.821845813       0.00405379957
         4        -3.819139671        -3.821169278      0.003096288336
         5        -3.812961938         -3.81952781       0.00287944693
         6        -3.813671414        -3.818551744       0.00255963056
         7        -3.812616788        -3.817703893       0.00233016271
         8        -3.811334909         -3.81690777      0.002170637558
         9        -3.813566842        -3.816536556      0.001960940553
        10        -3.816311096         -3.81651401      0.001764976105
        11        -3.810846499        -3.815998782      0.001678041662
        12         -3.81462248         -3.81588409      0.001542119388
        13        -3.816171333        -3.815906185      0.001423653106
        14        -3.812152532        -3.815638067      0.001346974488
        15        -3.843659379        -3.817506155       0.00219945279
        16        -3.819642701        -3.817639689      0.002066036605
        17        -3.830611101        -3.818402713      0.002080638946
        18        -3.822616174        -3.818636794      0.001978171656
        19         -3.82538488        -3.818991957      0.001905673722
        20        -3.814365612        -3.818760639       0.00182437506
