#    N_BLOCK:      ACCEPTANCE:
         1        0.5088320106
         2        0.5092386831
         3        0.5091018519
         4        0.5093568376
         5        0.5092611111
         6         0.509416122
         7        0.5092553606
         8        0.5092195767
         9        0.5090503221
        10        0.5091040741
        11        0.5090486968
        12        0.5089814815
        13        0.5089701314
        14        0.5090187991
        15        0.5090169312
        16        0.5089534535
        17        0.5089501425
        18        0.5089033424
        19        0.5088621878
        20        0.5088117284
