#      BLOCK:      ACTUAL_PE:           PE_AVE:             ERROR:
         1        -7.540435568        -7.540435568                   0
         2        -7.550043066        -7.545239317      0.003396763448
         3         -7.54765643        -7.546045021      0.002358129312
         4        -7.567619887        -7.551438737      0.004994704022
         5        -7.536141897        -7.548379369      0.004842923673
         6        -7.535524535        -7.546236897      0.004484706682
         7        -7.541765981        -7.545598195      0.003889249675
         8         -7.54374586        -7.545366653      0.003409978787
         9        -7.546720672        -7.545517099      0.003034409254
        10        -7.541531235        -7.545118513      0.002757022321
        11        -7.528695868        -7.543625545      0.002882408872
        12        -7.553677886         -7.54446324       0.00276125317
        13        -7.554210393        -7.545213021      0.002648690094
        14        -7.548745816        -7.545465364      0.002471489133
        15        -7.558520362        -7.546335697      0.002455189018
        16         -7.53604241        -7.545692367      0.002384536137
        17        -7.546754869        -7.545754867      0.002245088239
        18        -7.554588313        -7.546245614      0.002173334838
        19        -7.551167959        -7.546504685      0.002074332498
        20        -7.553662074        -7.546862554      0.002001248099
