#      BLOCK:      ACTUAL_T:            T_AVE:             ERROR:
         1                 0.8                 0.8                   0
         2                 0.8                 0.8                   0
         3                 0.8                 0.8                   0
         4                 0.8                 0.8                   0
         5                 0.8                 0.8                   0
         6                 0.8                 0.8                   0
         7                 0.8                 0.8     6.897897272e-09
         8                 0.8                 0.8     5.268356064e-09
         9                 0.8                 0.8     4.967053731e-09
        10                 0.8                 0.8     3.332000937e-09
        11                 0.8                 0.8     3.176938241e-09
        12                 0.8                 0.8     3.041686792e-09
        13                 0.8                 0.8     4.132838519e-09
        14                 0.8                 0.8     3.982502847e-09
        15                 0.8                 0.8     4.712160915e-09
        16                 0.8                 0.8     4.562530187e-09
        17                 0.8                 0.8     4.426304443e-09
        18                 0.8                 0.8     4.301594713e-09
        19                 0.8                 0.8     5.405219273e-09
        20                 0.8                 0.8     5.268356064e-09
