#      BLOCK:      ACTUAL_TE:           TE_AVE:             ERROR:
         1        -6.340435568        -6.340435568                   0
         2        -6.350043066        -6.345239317      0.003396763448
         3         -6.34765643        -6.346045021      0.002358129313
         4        -6.367619887        -6.351438737      0.004994704022
         5        -6.336141897        -6.348379369      0.004842923674
         6        -6.335524535        -6.346236897      0.004484706682
         7        -6.341765981        -6.345598195      0.003889249675
         8         -6.34374586        -6.345366653      0.003409978787
         9        -6.346720672        -6.345517099      0.003034409254
        10        -6.341531235        -6.345118513      0.002757022321
        11        -6.328695868        -6.343625545      0.002882408872
        12        -6.353677886         -6.34446324       0.00276125317
        13        -6.354210393        -6.345213021      0.002648690094
        14        -6.348745816        -6.345465364      0.002471489133
        15        -6.358520362        -6.346335697      0.002455189018
        16         -6.33604241        -6.345692367      0.002384536137
        17        -6.346754869        -6.345754867      0.002245088239
        18        -6.354588313        -6.346245614      0.002173334838
        19        -6.351167959        -6.346504685      0.002074332498
        20        -6.353662074        -6.346862554      0.002001248099
